ID,英文名稱,中文名稱,圖片,備註,更新日期
2712147,general education,普通教育,,nan,2016-10-04
2712148,general educational subsidy,一般教育补助,,nan,2016-10-04
2712149,General English Proficiency Test,全民英语能力分级检定测验,,nan,2016-10-04
2712150,general intelligence,一般智能,,nan,2016-10-04
2712151,general method of teaching,普通教学法,,nan,2016-10-04
2712152,General National Vocational Qualifications {=GNVQ},国家普通职业资格证书 {英},,英国教育学,2016-10-04
2712153,General National Vocational Qualifications Advance Level {=GNVQ Advance Level },国家普通职业资格证书-进阶级 {英},,英国教育学,2016-10-04
2712154,General National Vocational Qualifications Foundation Level {= GNVQ Foundation Level},国家普通职业资格证书-基础级 {英},,英国教育学,2016-10-04
2712155,General National Vocational Qualifications Intermediate Level {= GNVQ Intermediate Level},国家普通职业资格证书-中间级 {英},,英国教育学,2016-10-04
2712156,general project,一般型计划,,nan,2016-10-04
2712157,general science,自然科学通论,,nan,2016-10-04
2712158,General Teaching Council,教学总会 {英},,英国教育学,2016-10-04
2712159,generalization,类化,,nan,2016-10-04
2712160,genetic method,发生法,,nan,2016-10-04
2712161,genetic psychology,发生心理学,,nan,2016-10-04
2712162,genius,天才,,nan,2016-10-04
2712163,gestalt psychology,格式塔心理学；完形心理学,,nan,2016-10-04
2712164,gesture language,肢体语言,,nan,2016-10-04
2712165,gift,恩物,,nan,2016-10-04
2712166,gifted child,天才儿童；优异儿童,,nan,2016-10-04
2712167,gild school,行会学校,,nan,2016-10-04
2712168,girl scout,女童子军,,nan,2016-10-04
2712169,girlhood,少女期,,nan,2016-10-04
2712170,girls' high school,女子中学,,nan,2016-10-04
2712171,glee club,歌咏团,,nan,2016-10-04
2712172,government scholarship,公费奖学金,,nan,2016-10-04
2712173,government sponsorship,公费待遇,,nan,2016-10-04
2712174,gradation method,等第法,,nan,2016-10-04
2712175,grade,等第；年级；分数,,nan,2016-10-04
2712176,Grade 1-9 Curriculum,九年一贯课程；一至九年级课程,,nan,2016-10-04
2712177,Grade 1-9 Curriculum Guidelines,九年一贯课程纲要；一至九年级课程纲要,,nan,2016-10-04
2712178,grade distribution,等级分配；年级分配,,nan,2016-10-04
2712179,grade forum,学年会议,,nan,2016-10-04
2712180,grade group plan,年级分组制,,nan,2016-10-04
2712181,grade norm,年级常模,,nan,2016-10-04
2712182,grade scale,年级量表,,nan,2016-10-04
2712183,grade school,学级学校,,nan,2016-10-04
2712184,graded system,多级制,,nan,2016-10-04
2712185,grade-progress table,成绩进步表,,nan,2016-10-04
2712186,graduate,毕业生,,nan,2016-10-04
2712187,graduate of the current year,应届毕业,,nan,2016-10-04
2712188,graduate school,研究所,,nan,2016-10-04
2712189,graduate student,研究生,,nan,2016-10-04
2712190,graduation,毕业,,nan,2016-10-04
2712191,graduation certificate,证明书,,nan,2016-10-04
2712192,graduation requirement,毕业条件；毕业要求标准,,nan,2016-10-04
2712193,grammar course,文法课程,,nan,2016-10-04
2712194,grammar school,文法学校 {美}；文法中学 {英},,nan,2016-10-04
2712195,grandparenting,隔代教养,,nan,2016-10-04
2712196,grant-maintained school {=GMS/GM schools},直接受[中央政府]补助学校{英},,英国教育学,2016-10-04
2712197,grant-maintained special school {=GMSS},直接受[中央政府]补助之特殊学校 {英},,英国教育学,2016-10-04
2712198,grants,补助费；补助金；奖助学金,,nan,2016-10-04
2712199,graphical representation,图示,,nan,2016-10-04
2712200,gregarious instinct,群聚本能,,nan,2016-10-04
2712201,grievance,申诉,,nan,2016-10-04
2712202,group instruction,分组教学,,nan,2016-10-04
2712203,group supervision,团体视导；团体督导,,nan,2016-10-04
2712204,group system,分组制,,nan,2016-10-04
2712205,grouping by ability,能力分组,,nan,2016-10-04
2712206,G-score,G分数,,nan,2016-10-04
2712207,guest-pupil,旁听生,,nan,2016-10-04
2712208,guidance department,辅导处,,nan,2016-10-04
2712209,guidance group,辅导团,,nan,2016-10-04
2712210,guild school,行会学校,,nan,2016-10-04
2712211,gustatory sensation,味觉,,nan,2016-10-04
2712212,gymnasium,体育馆；文科中学 {德},,nan,2016-10-04
2712213,gymnastics,体操,,nan,2016-10-04
2712214,half-day school,半日制学校,,nan,2016-10-04
2712215,half-time system,二部制,,nan,2016-10-04
2712216,hallucination,幻觉,,nan,2016-10-04
2712217,handicraft school,手工艺学校,,nan,2016-10-04
2712218,hazing,被欺侮；受辱,,nan,2016-10-04
2712219,headmaster,中小学男校长,,nan,2016-10-04
2712220,headmistress,中小学女校长,,nan,2016-10-04
2712221,heads of department {=HOD},系主任 {大学}；学科主任 {中小学},,nan,2016-10-04
2712222,headteacher,中小学校长；小学校长 {英},,英国教育学,2016-10-04
2712223,health and physical education,健康与体育,,nan,2016-10-04
2712224,health education,健康教育,,nan,2016-10-04
2712225,health impairments,身体病弱,,nan,2016-10-04
2712226,hearing impairments,听觉障碍,,nan,2016-10-04
2712227,height-weight table,身高体重表,,nan,2016-10-04
2712228,Her Majesty's Chief Inspector of Schools,皇家总督学 {英},,英国教育学,2016-10-04
2712229,Her Majesty's Inspectorate,皇家督学处 {英},,英国教育学,2016-10-04
2712230,Her Majesty's Inspectors of Schools,皇家督学 {英},,英国教育学,2016-10-04
2712231,heredity,遗传,,nan,2016-10-04
2712232,heuristic method,捷思法,,nan,2016-10-04
2712233,heuristic mode of teaching,启发式教学,,nan,2016-10-04
2712234,high school,中学,,nan,2016-10-04
2712235,high school district,中学区,,nan,2016-10-04
2712236,high school integrating with local community,高中职社区化,,nan,2016-10-04
2712237,higher education,高等教育,,nan,2016-10-04
2712238,Higher Education Funding Council {=HEFC},高等教育拨款委员会 {英},,英国教育学,2016-10-04
2712239,Higher Education Funding Council for England {=HEFCE},英格兰高等教育拨款委员会 {英},,英国教育学,2016-10-04
2712240,Higher Education Funding Council for Wales {=HEFCW},威尔斯高等教育拨款委员会 {英},,英国教育学,2016-10-04
2712241,Higher National Certificate {=HNC},高等国家证书{英},,英国教育学,2016-10-04
2712242,higher normal school,高等师范学校 {法},,nan,2016-10-04
2712243,Higher Still,高续证书{苏格兰},,nan,2016-10-04
2712244,Higher Still Development Unit,高续证书发展小组 {苏格兰},,nan,2016-10-04
2712245,high-school extension,中学推广教育,,nan,2016-10-04
2712246,histogram,直方图,,nan,2016-10-04
2712247,history of education,教育史,,nan,2016-10-04
2712248,holiday,假日,,nan,2016-10-04
2712249,holiday course,假日班；假日课程,,nan,2016-10-04
2712250,home and school club,家庭与学校联谊社,,nan,2016-10-04
2712251,home card,家庭联络卡,,nan,2016-10-04
2712252,home economics education,家政教育；家事教育,,nan,2016-10-04
2712253,home education,家庭教育；在家教育,,nan,2016-10-04
2712254,home lesson,家庭课业,,nan,2016-10-04
2712255,home liaison teacher,家庭联络教师 {英},,英国教育学,2016-10-04
2712256,home room,主班；自己的教室 {美},,nan,2016-10-04
2712257,home tutor,家庭教师 {英},,英国教育学,2016-10-04
2712258,home visiting,家庭访问,,nan,2016-10-04
2712259,home work,家庭作业,,nan,2016-10-04
2712260,home-economics school,家政学校,,nan,2016-10-04
2712261,home-room teacher,班导师,,nan,2016-10-04
2712262,Home-School Councils,家庭学校委员会 {英},,英国教育学,2016-10-04
2712263,homework clubs,安亲班；课业辅导班 {英},,英国教育学,2016-10-04
2712264,honor course,大学优异级课程 {英},,英国教育学,2016-10-04
2712265,honor credit,大学优异级学分 {英},,英国教育学,2016-10-04
2712266,honor roll,荣誉榜,,nan,2016-10-04
2712267,honor system,荣誉制,,nan,2016-10-04
2712268,honorary degree,荣誉学位,,nan,2016-10-04
2712269,honorary doctorate,名誉博士；荣誉博士,,nan,2016-10-04
2712270,honorary professor,名誉教授,,nan,2016-10-04
2712271,honors degree,高等学士学位 {英},,英国教育学,2016-10-04
2712272,honors student,优等生,,nan,2016-10-04
2712273,hostel,招待所；小旅馆；大学生宿舍,,nan,2016-10-04
2712274,hourly pay,钟点费,,nan,2016-10-04
2712275,house master,男舍监,,nan,2016-10-04
2712276,house of correction,矫正院；感化院,,nan,2016-10-04
2712277,house system,斋舍制 {英},,英国教育学,2016-10-04
2712278,household education,家政教育；家事教育,,nan,2016-10-04
2712279,human capital,人力资本,,nan,2016-10-04
2712280,human resource development,人力资源发展；人才培育,,nan,2016-10-04
2712281,human rights education,人权教育,,nan,2016-10-04
2712282,humanism,人本主义；人文主义,,nan,2016-10-04
2712283,humanistic education,人本教育；人文教育,,nan,2016-10-04
2712284,hygiene education,卫生教育；保健教育,,nan,2016-10-04
2712285,hypermnesia,强记,,nan,2016-10-04
2712286,idea,观念,,nan,2016-10-04
2712287,ideal,理想,,nan,2016-10-04
2712288,idealism,理想主义；唯心论；观念论,,nan,2016-10-04
2712289,idiocy,下愚,,nan,2016-10-04
2712290,idiot,下愚者,,nan,2016-10-04
2712291,illiterate,文盲,,nan,2016-10-04
2712292,illusion,错觉,,nan,2016-10-04
2712293,illustration meeting,说明会,,nan,2016-10-04
2712294,image,意像；像,,nan,2016-10-04
2712295,imageless thought,无意像之思想,,nan,2016-10-04
2712296,imbecile,中愚者,,nan,2016-10-04
2712297,imbecility,中愚,,nan,2016-10-04
2712298,imitation,模仿,,nan,2016-10-04
2712299,imitativeness,模仿性,,nan,2016-10-04
2712300,immediate experience,立即经验,,nan,2016-10-04
2712301,immigrant education,移民教育,,nan,2016-10-04
2712302,improvement curve,进步曲线,,nan,2016-10-04
2712303,impulse,冲动,,nan,2016-10-04
2712304,impulsiveness,冲动性,,nan,2016-10-04
2712305,incidental education,随机教育,,nan,2016-10-04
2712306,incidental learning,随机学习,,nan,2016-10-04
2712307,incidental teaching method,随机教学法,,nan,2016-10-04
2712308,incompetent teacher,不适任教师,,nan,2016-10-04
2712309,Incorporated Association of Preparatory Schools {=IAPS},预备学校法人协会 {英},,英国教育学,2016-10-04
2712310,incorporation teaching method,融入式教学,,nan,2016-10-04
2712311,indefinite tenure,无限任期,,nan,2016-10-04
2712312,independent further education college,独立的扩充教育学院 {英}；私立的扩充教育学院 {英},,英国教育学,2016-10-04
2712313,independent inspector,独立督学 {英},,英国教育学,2016-10-04
2712314,independent reading,独立阅读,,nan,2016-10-04
2712315,independent school,独立学校 {英}；私立学校 {英},,英国教育学,2016-10-04
2712316,Independent Schools Information Service {=ISIS},独立学校资讯服务处 {英}；私立学校资讯服务处 {英},,英国教育学,2016-10-04
2712317,indicator of educational quality,教育品质指标,,nan,2016-10-04
2712318,indigenous educational right,民族教育权；原住民教育权,,nan,2016-10-04
2712319,indirect discipline,间接训练,,nan,2016-10-04
2712320,indirect interest,间接兴趣,,nan,2016-10-04
2712321,indirect learning,间接学习,,nan,2016-10-04
2712322,indirect method of teaching,间接教学法,,nan,2016-10-04
2712323,individual application,个人申请,,nan,2016-10-04
2712324,individual difference,个别差异,,nan,2016-10-04
2712325,individual education,个别教育,,nan,2016-10-04
2712326,individual initiative,个人创动,,nan,2016-10-04
2712327,individual instruction,个别教学,,nan,2016-10-04
2712328,individual intelligence test,个别智力测验,,nan,2016-10-04
2712329,Individual psychology,个人心理学,,nan,2016-10-04
2712330,individual reading,个别阅读,,nan,2016-10-04
2712331,individual teaching,个别教学,,nan,2016-10-04
2712332,individualism,个人主义,,nan,2016-10-04
2712333,Individualized Education Program {= IEP},个别化教育计划,,nan,2016-10-04
2712334,Individualized Transition Plan {= ITP},个别化转衔计划,,nan,2016-10-04
2712335,indoor play,室内活动,,nan,2016-10-04
2712336,inductive method,归纳法,,nan,2016-10-04
2712337,industrial arts,工艺,,nan,2016-10-04
2712338,industrial arts education,工艺教育,,nan,2016-10-04
2712339,industrial education,工业教育；实业教育,,nan,2016-10-04
2712340,industrial psychology,工业心理学,,nan,2016-10-04
2712341,industrial school,工业学校；实业学校,,nan,2016-10-04
2712342,infancy,婴孩期,,nan,2016-10-04
2712343,infant education,幼儿教育,,nan,2016-10-04
2712344,infant prodigy,天才儿童；优异儿童,,nan,2016-10-04
2712345,infant school,幼儿学校 {英},,英国教育学,2016-10-04
2712346,infant-asylum,育幼院,,nan,2016-10-04
2712347,infantia,婴孩期,,nan,2016-10-04
2712348,inference,推论；推理,,nan,2016-10-04
2712349,inferiority complex,自卑情结,,nan,2016-10-04
2712350,informal education,非正规教育；非正式教育,,nan,2016-10-04
2712351,information,资讯；知识,,nan,2016-10-04
2712352,information and communication technology {=ICT},资讯与通讯科技 {英},,英国教育学,2016-10-04
2712353,information subject,知识科目；资讯学科,,nan,2016-10-04
2712354,information technology education,资讯教育,,nan,2016-10-04
2712355,inheritance,遗传,,nan,2016-10-04
2712356,initial contract,初聘,,nan,2016-10-04
2712357,initial teacher training {=ITT},教师职前培训；初任教师培训,,nan,2016-10-04
2712358,innate idea,先天观念,,nan,2016-10-04
2712359,Innovations Centre,创意中心,,nan,2016-10-04
2712360,in-service education of teachers {=INSET},教师在职教育,,nan,2016-10-04
2712361,in-service education program,在职专班,,nan,2016-10-04
2712362,in-service training,在职进修,,nan,2016-10-04
2712363,insight,顿悟；洞悟；洞见；洞察,,nan,2016-10-04
2712364,insight learning,顿悟学习；洞悟学习,,nan,2016-10-04
2712365,insignia,徽章,,nan,2016-10-04
2712366,inspection,视察,,nan,2016-10-04
2712367,inspector,督学,,nan,2016-10-04
2712368,inspector-general,主任督学,,nan,2016-10-04
2712369,instinct,本能,,nan,2016-10-04
2712370,instinct of construction,建造本能,,nan,2016-10-04
2712371,instinct of curiosity,好奇本能,,nan,2016-10-04
2712372,institute,所；会；社；馆；学院；研究所,,nan,2016-10-04
2712373,institute for promoting aboriginal education,原住民推广教育机构,,nan,2016-10-04
2712374,"Institute of Education, University of London",伦敦大学教育学院,,nan,2016-10-04
2712375,institution status change,[学校]改制,,nan,2016-10-04
2712376,institutions for academic research,学术研究机构,,nan,2016-10-04
2712377,institutions of higher education {=HEIs},大专校院,,nan,2016-10-04
2712378,instruction,讲授；教导；教学,,nan,2016-10-04
2712379,instruction by academic competence-based grouping,学科能力分组教学,,nan,2016-10-04
2712380,instruction equipment budget,教学设备经费,,nan,2016-10-04
2712381,instructional assessment,教学评量,,nan,2016-10-04
2712382,instructor,讲师；教师,,nan,2016-10-04
2712383,integral experimental project,整合实验方案,,nan,2016-10-04
2712384,integrated curriculum,统整课程,,nan,2016-10-04
2712385,integrated instruction,统整教学；整合教学,,nan,2016-10-04
2712386,integrated project,整合型计划,,nan,2016-10-04
2712387,integrated services digital network {=ISDN},整合型服务数位网路,,nan,2016-10-04
2712388,integrating kindergartens and nursery schools,幼托整合,,nan,2016-10-04
2712389,integrating with local community,社区化,,nan,2016-10-04
2712390,integrative activities,综合活动,,nan,2016-10-04
2712391,intellect,智性,,nan,2016-10-04
2712392,intellectual education,智育,,nan,2016-10-04
2712393,Intellectualism,主智论；主知论,,nan,2016-10-04
2712394,Intellectualistic education,主智教育；主知教育,,nan,2016-10-04
2712395,intelligence,智力,,nan,2016-10-04
2712396,intelligence measurement,智力测验,,nan,2016-10-04
2712397,intelligence quotient {= I.Q.},智力商数；智商,,nan,2016-10-04
2712398,intelligence test,智力测验,,nan,2016-10-04
2712399,intention,意向,,nan,2016-10-04
2712400,interactive presentation,互动式展示,,nan,2016-10-04
2712401,inter-collegiate athletics,校际体育竞赛,,nan,2016-10-04
2712402,inter-collegiate course taking,校际选课,,nan,2016-10-04
2712403,intermediate education,中间教育 {英},,英国教育学,2016-10-04
2712404,intermediate examination,中间教育考试 {英},,英国教育学,2016-10-04
2712405,intermediate school,中间学校,,nan,2016-10-04
2712406,intermural athletics,院际体育竞赛,,nan,2016-10-04
2712407,intern,实习教师,,nan,2016-10-04
2712408,internal evaluation,内部评鉴,,nan,2016-10-04
2712409,internal network within schools and colleges,校园内部资讯互联网,,nan,2016-10-04
2712410,internal student,校内生,,nan,2016-10-04
2712411,international academic cooperation,国际学术合作,,nan,2016-10-04
2712412,International Association for the Evaluation of Educational Achievement,国际教育成就评鉴学会 {英},,英国教育学,2016-10-04
2712413,international competitiveness,国际竞争力,,nan,2016-10-04
2712414,international cooperation,国际合作,,nan,2016-10-04
2712415,international education,国际教育,,nan,2016-10-04
2712416,internet environment equipment readiness,网路环境整备,,nan,2016-10-04
2712417,internet teaching materials for lifelong learning,终身学习网路教材,,nan,2016-10-04
2712418,interscholastic athletics,校际体育竞赛,,nan,2016-10-04
2712419,intramural athletics,校内体育竞赛,,nan,2016-10-04
2712420,introspection,内省,,nan,2016-10-04
2712421,introspection method,内省法,,nan,2016-10-04
2712422,introversion,内向,,nan,2016-10-04
2712423,introvert,内向者,,nan,2016-10-04
2712424,intuition,直觉,,nan,2016-10-04
2712425,intuitional instruction,直观教学,,nan,2016-10-04
2712426,intuitive method,直观法,,nan,2016-10-04
2712427,invalid children,病弱儿童,,nan,2016-10-04
2712428,investigation of individuality,个性调查,,nan,2016-10-04
2712429,irritability,可激性,,nan,2016-10-04
2712430,Islamic education,回教教育；伊斯兰教育,,nan,2016-10-04
2712431,item bank,测验题库,,nan,2016-10-04
2712432,joint overseas recruitment,海外联合招生,,nan,2016-10-04
2712433,Joint-entrance Examination Center,联合入学测验中心；联合入学考试中心,,nan,2016-10-04
2712434,journalistic education,新闻学教育,,nan,2016-10-04
2712435,judgment,判断,,nan,2016-10-04
2712436,junior,三年级生 {美},,nan,2016-10-04
2712437,junior class,三年级 {美},,nan,2016-10-04
2712438,junior college,专科学校 {台湾}；初级学院 {美},,nan,2016-10-04
2712439,Junior College Law,专科学校法,,nan,2016-10-04
2712440,junior high school,初级中学；国民中学,,nan,2016-10-04
2712441,junior school,初级小学 {英},,英国教育学,2016-10-04
2712442,junior technical school,初级技艺学校 {英},,英国教育学,2016-10-04
2712443,juvenile court,少年法庭,,nan,2016-10-04
2712444,juvenile delinquency,少年犯罪,,nan,2016-10-04
2712445,juvenile literature,少年文学,,nan,2016-10-04
2712446,juvenile prison,少年监狱,,nan,2016-10-04
2712447,Key Stages,关键阶段 {英},,英国教育学,2016-10-04
2712448,Kids' Clubs Network,安亲班联合会 {英},,英国教育学,2016-10-04
2712449,kindergarten,幼儿园；幼稚园,,nan,2016-10-04
2712450,kindergarten education,幼儿园教育；幼稚园教育,,nan,2016-10-04
2712451,kindergartner,幼儿园教师；幼稚园教师,,nan,2016-10-04
2712452,kinematography,活动电影,,nan,2016-10-04
2712453,kinesthetic sensation,动觉,,nan,2016-10-04
2712454,knowledge,资讯；知识,,nan,2016-10-04
2712455,labor college,劳动学院,,nan,2016-10-04
2712456,laboratory,实验室,,nan,2016-10-04
2712457,laboratory assistant,实验室助理,,nan,2016-10-04
2712458,laboratory manual,实验手册,,nan,2016-10-04
2712459,laboratory method,实验法,,nan,2016-10-04
2712460,laboratory school,实验学校,,nan,2016-10-04
2712461,laboratory technician,实验室技师,,nan,2016-10-04
2712462,laggard student,迟钝学生,,nan,2016-10-04
2712463,language,语言,,nan,2016-10-04
2712464,language ability certificate,语言能力证明,,nan,2016-10-04
2712465,language arts,语文,,nan,2016-10-04
2712466,language disorders,语言障碍,,nan,2016-10-04
2712467,lantern slide,幻灯片,,nan,2016-10-04
2712468,Latin grammar school,拉丁文法学校,,nan,2016-10-04
2712469,law college,法学院,,nan,2016-10-04
2712470,law education,法律教育；法学教育,,nan,2016-10-04
2712471,law of association,联结律,,nan,2016-10-04
2712472,law of contiguity,接近律,,nan,2016-10-04
2712473,law of contrast,对比律,,nan,2016-10-04
2712474,law of disuse,不用律,,nan,2016-10-04
2712475,law of effect,效果律,,nan,2016-10-04
2712476,law of error,误差律,,nan,2016-10-04
2712477,law of exercise,练习律,,nan,2016-10-04
2712478,law of frequency,频因律,,nan,2016-10-04
2712479,law of intensity,强因律,,nan,2016-10-04
2712480,law of learning,学习律,,nan,2016-10-04
2712481,law of primacy,首因律,,nan,2016-10-04
2712482,law of readiness,准备律,,nan,2016-10-04
2712483,law of recency,近因律,,nan,2016-10-04
2712484,law of resemblance,类似律,,nan,2016-10-04
2712485,law of similarity,类似律,,nan,2016-10-04
2712486,law of tension,紧张律,,nan,2016-10-04
2712487,law of use,使用律,,nan,2016-10-04
2712488,law school,法学院,,nan,2016-10-04
2712489,lay inspector,业余督学 {英},,英国教育学,2016-10-04
2712490,lay off,资遣,,nan,2016-10-04
2712491,leadership,领导[能力],,nan,2016-10-04
2712492,learning activities in schools,学校学习活动,,nan,2016-10-04
2712493,learning areas,学习领域,,nan,2016-10-04
2712494,learning by chance,机遇学习,,nan,2016-10-04
2712495,learning by doing,做中学,,nan,2016-10-04
2712496,learning by experience,从经验中学习,,nan,2016-10-04
2712497,learning by imitation,模仿学习,,nan,2016-10-04
2712498,learning curve,学习曲线,,nan,2016-10-04
2712499,learning disabilities,学习障碍,,nan,2016-10-04
2712500,learning efficiency,学习效率,,nan,2016-10-04
2712501,learning stages,学习阶段,,nan,2016-10-04
2712502,learning through living,从生活中学习,,nan,2016-10-04
2712503,leave of absence,请假,,nan,2016-10-04
2712504,leaving certificate,离校证明,,nan,2016-10-04
2712505,lecture,讲演,,nan,2016-10-04
2712506,lecture method,讲演法,,nan,2016-10-04
2712507,lecture room,教室,,nan,2016-10-04
2712508,lecture-demonstration method,讲演示范法,,nan,2016-10-04
2712509,lecturer,讲师；讲演者,,nan,2016-10-04
2712510,legal education,法律教育,,nan,2016-10-04
2712511,lesson,课,,nan,2016-10-04
2712512,lesson assignment,作业指定,,nan,2016-10-04
2712513,lesson plan,教案,,nan,2016-10-04
2712514,liberal arts,通艺学科；博艺学科,,nan,2016-10-04
2712515,liberal education,博雅教育,,nan,2016-10-04
2712516,library,图书馆,,nan,2016-10-04
2712517,library education,图书馆教育,,nan,2016-10-04
2712518,life certificate,终身证书,,nan,2016-10-04
2712519,life curriculum,生活课程,,nan,2016-10-04
2712520,life instinct,求生本能,,nan,2016-10-04
2712521,life tenure,终身任期,,nan,2016-10-04
2712522,lifelong education,终身教育,,nan,2016-10-04
2712523,lifelong learning,终身学习,,nan,2016-10-04
2712524,Lifelong Learning White Paper,终身学习白皮书 {英},,英国教育学,2016-10-04
2712525,Life-reconstruction Plan,生活重建计划,,nan,2016-10-04
2712526,linguistic education,语言教育,,nan,2016-10-04
2712527,lip reading,读唇识意,,nan,2016-10-04
2712528,literacy and numeracy,读写算能力,,nan,2016-10-04
2712529,literary contest,文艺竞赛,,nan,2016-10-04
2712530,literary course,文艺课程；文学科目,,nan,2016-10-04
2712531,loan for student,助学贷款；学生贷款,,nan,2016-10-04
2712532,local committee for teachers certification,县市教师复检委员会；地方教师资格检核委员会,,nan,2016-10-04
2712533,Local Education Authority {=LEA},地方教育局 {英},,英国教育学,2016-10-04
2712534,Local Education Committee,地方教育审议委员会；地方教育委员会,,nan,2016-10-04
2712535,Local Government Association,地方政府协会,,nan,2016-10-04
2712536,Local Management of Schools {=LMS},地方学校管理委员会 {英},,英国教育学,2016-10-04
2712537,local teachers' association,地方教师会,,nan,2016-10-04
2712538,logic,论理学；逻辑；理则学,,nan,2016-10-04
2712539,logical order,论理次序；逻辑次序,,nan,2016-10-04
2712540,London Business School {=LBS},伦敦大学商学院 {英},,英国教育学,2016-10-04
2712541,London School of Economics and Political Science {=LSE},伦敦大学政经学院 {英},,英国教育学,2016-10-04
2712542,loud reading,朗读,,nan,2016-10-04
2712543,low-achieving schools,表现欠佳学校 {英},,英国教育学,2016-10-04
2712544,lyceum,公立高级中学 {法},,nan,2016-10-04
2712545,maintained school,政府资助学校 {英},,英国教育学,2016-10-04
2712546,major subject,主科,,nan,2016-10-04
2712547,maladjustment,不良适应,,nan,2016-10-04
2712548,malnutrition,营养不良,,nan,2016-10-04
2712549,Mandarin,华语,,nan,2021-10-21
2712550,manipulation,操作,,nan,2016-10-04
2712551,manual training,手工训练,,nan,2016-10-04
2712552,manual-training room,手工教室,,nan,2016-10-04
2712553,many-sided interest,多方兴趣,,nan,2016-10-04
2712554,marking,记分,,nan,2016-10-04
2712555,marking system,记分制,,nan,2016-10-04
2712556,mass,众数,,nan,2016-10-04
2712557,mass education,大众教育；平民教育,,nan,2016-10-04
2712558,massed learning,集中学习,,nan,2016-10-04
2712559,Master,硕士,,nan,2016-10-04
2712560,Master student,硕士班研究生,,nan,2016-10-04
2712561,Master's degree,硕士学位,,nan,2016-10-04
2712562,matching test,配对测验,,nan,2016-10-04
2712563,material culture,实质陶冶,,nan,2016-10-04
2712564,material discipline,实质训练,,nan,2016-10-04
2712565,material object,实物,,nan,2016-10-04
2712566,material of instruction,教材,,nan,2016-10-04
2712567,materialism,唯物论,,nan,2016-10-04
2712568,maternal course,育儿课程,,nan,2016-10-04
2712569,maternity,母性,,nan,2016-10-04
2712570,mathematics,数学,,nan,2016-10-04
2712571,mathematics and sciences,数理学科,,nan,2016-10-04
2712572,matriculation,大学入学考试,,nan,2016-10-04
2712573,matriculation certificate,大学入学许可证明,,nan,2016-10-04
2712574,maturity examination,成熟考试 {德},,nan,2016-10-04
2712575,maxim,格言；行为准则,,nan,2016-10-04
2712576,maze,迷津,,nan,2016-10-04
2712577,mean,平均数,,nan,2016-10-04
2712578,mean deviation {= MN.D.},平均差,,nan,2016-10-04
2712579,mean square,均方,,nan,2016-10-04
2712580,means-tested,资产调查,,nan,2016-10-04
2712581,measurement,测量,,nan,2016-10-04
2712582,measurement of visual area,视阈测量,,nan,2016-10-04
2712583,measuring scale,量尺,,nan,2016-10-04
2712584,mechanism,机制论；机械论,,nan,2016-10-04
2712585,mechanism of risk management and guidance,危机管理辅导机制,,nan,2016-10-04
2712586,media literacy education,媒体素养教育,,nan,2016-10-04
2712587,media resources officer,媒体资源主管,,nan,2016-10-04
2712588,median,中位数,,nan,2016-10-04
2712589,mediate experience,间接经验,,nan,2016-10-04
2712590,medical college,医学院,,nan,2016-10-04
2712591,medical education,医学教育,,nan,2016-10-04
2712592,medical examination,健康检查,,nan,2016-10-04
2712593,medical gymnastics,治疗体操,,nan,2016-10-04
2712594,medieval education,中古教育；中世纪教育,,nan,2016-10-04
2712595,melancholic temperament,忧郁质,,nan,2016-10-04
2712596,memorial day,纪念日,,nan,2016-10-04
2712597,memorization,记诵,,nan,2016-10-04
2712598,memory curve,记忆曲线,,nan,2016-10-04
2712599,memory drawing,记忆画,,nan,2016-10-04
2712600,memory system,记忆术,,nan,2016-10-04
2712601,memory training,记忆训练,,nan,2016-10-04
2712602,memory work,记忆工作,,nan,2016-10-04
2712603,mental ability,心智能力,,nan,2016-10-04
2712604,mental adaptation,心理适应,,nan,2016-10-04
2712605,mental age {= M.A.},心理年龄；心龄,,nan,2016-10-04
2712606,mental arithmetic,心算,,nan,2016-10-04
2712607,mental capacity,心智容量,,nan,2016-10-04
2712608,mental defect,心智缺陷者,,nan,2016-10-04
2712609,mental defective,心智缺陷者,,nan,2016-10-04
2712610,mental deficiency,心智缺陷,,nan,2016-10-04
2712611,mental depression,心理抑郁,,nan,2016-10-04
2712612,mental development,心智发展,,nan,2016-10-04
2712613,mental discipline,心智训练,,nan,2016-10-04
2712614,mental disturbance,精神扰乱,,nan,2016-10-04
2712615,mental examination,心理检查,,nan,2016-10-04
2712616,mental growth,心智成长,,nan,2016-10-04
2712617,mental hygiene,心理卫生,,nan,2016-10-04
2712618,mental measurement,心理测量,,nan,2016-10-04
2712619,mental process,心理历程,,nan,2016-10-04
2712620,mental rehabilitation plan,心理复健计划,,nan,2016-10-04
2712621,mental retardation,智能障碍,,nan,2016-10-04
2712622,mental scale,心理量表,,nan,2016-10-04
2712623,mental set,心向；心理定向,,nan,2016-10-04
2712624,mental test,心理测验,,nan,2016-10-04
2712625,mental training,心智训练,,nan,2016-10-04
2712626,mentor teacher,教学辅导教师,,nan,2016-10-04
2712627,mercantile marine school,商船学校,,nan,2016-10-04
2712628,merit system,功绩制,,nan,2016-10-04
2712629,metal hygiene clinics,心理卫生中心,,nan,2016-10-04
2712630,method of comparison,比较法,,nan,2016-10-04
2712631,method of demonstration,示范法,,nan,2016-10-04
