ID,英文詞彙,中文詞彙,審定日期,更新日期
21397873,statistical mapping,统计制图,2024.06.11,
21397874,statistical surface,统计面,2024.06.11,
21397875,steel tape,钢卷尺,2025.03.06,
21397876,stenciling,模版法,2024.06.11,
21397877,stepping,步进法,2024.06.11,
21397878,stereo zoom transfer scope,立体像片缩放转绘仪,2024.06.11,
21397879,stereogrammic organization,立体化组织；立体化结构,2024.06.11,
21397880,stereographic projection,球面投影；平射投影,2024.06.11,
21397881,stereoplotting,立体测图；立体制图,2024.06.11,
21397882,stereoscopic vision,立体视觉；立体视察,2025.09.24,
21397883,stippling,网点法,2024.06.11,
21397884,stochastic gradient descent (SGD),随机梯度下降法,2023.07.05,
21397885,stored-image animation,内储影像动画,2024.06.11,
21397886,strata,层 {统计},2024.06.11,
21397887,stratified distribution,层状分布,2024.08.16,
21397888,stratified sampling,分层取样；分层抽样,2024.06.11,
21397889,stride,滑动步长 {影像处理}；双步幅；双步长 {测量},2023.05.09,
21397890,strip registration,揭膜条带对位；揭膜条带套合,2024.08.16,
21397891,stripping film,揭膜胶片,2025.09.24,
21397892,structural similarity (SSIM),结构相似度,2026.02.05,
21397893,structure from motion (SfM),运动恢复结构,2026.02.05,
21397894,sub-bottom profiler,浅层剖面仪；底质剖面仪,2023.05.09,
21397895,subdivisional organization,次分组织；次分结构,2024.06.11,
21397896,subject matter,主题内容,2024.08.16,
21397897,subtractive color,减色法；减色,2024.08.16,
21397898,successive exposures,连续曝光,2024.08.16,
21397899,superimposed color,叠加色彩,2024.08.16,
21397900,superimposed screen,叠置网屏,2022.05.19,
21397901,superimposed symbol,叠加符号,2024.08.16,
21397902,superpixel,超像元；超像素,2022.03.14,
21397903,super-resolution,超解析,2022.03.14,
21397904,supervoxel,超体元；超体素,2022.03.14,
21397905,super-wide angle,超宽角,2022.03.14,
21397906,surface current,表面流,2025.03.06,
21397907,surface fitting,表面拟合,2024.08.16,
21397908,surface fitting model,表面拟合模型,2024.08.16,
21397909,surface sound velocity probe,表面声速计,2023.05.09,
21397910,surge,涌浪,2025.10.08,
21397911,susceptibility map,潜势图；潜感图；敏感性地图,2024.08.16,
21397912,swatch book,色票；色卡本,2024.08.16,
21397913,swath,测带；刈幅,2023.05.09,
21397914,swath angle,测带角,2023.05.09,
21397915,swath coverage,测带覆盖,2023.07.05,
21397916,swath width,测带宽｛水深测量｝；扫描宽度｛空载光达｝,2023.05.09,
21397917,sweat and brow principle,挥汗原则；辛勤原则｛智财权｝,2024.08.16,
21397918,sweat of the brow,挥汗原则；辛勤原则｛智财权｝,2024.08.16,
21397919,switchyard conversion,资料中介转换,2024.08.16,
21397920,swivel graver,廻转雕刻器,2024.08.16,
21397921,symbol,标志；符号,2024.08.16,
21397922,symbol with shading,有阴影的符号,2023.07.26,
21397923,symbolization,符号化,2025.09.24,
21397924,symbolization in generalization,符号概括化,2024.08.16,
21397925,Synodic month,朔望月,2025.09.24,
21397926,system approach,系统方法,2024.08.16,
21397927,Systeme d'Echange et de Transfer (SET),法国图形数据交换标准,2022.05.19,
21397928,syzygy,朔望,2025.09.24,
21397929,Taiwan chart datum system 2021 (TWCD2021),二○二一深度系统,2023.03.29,
21397930,Taiwan telematics industry association (TTIA),台湾车联网产业协会,2022.04.21,
21397931,Taiwan tide model (TWNT),台湾周边海域潮位模式,2023.03.29,
21397932,telephone area code,电话区号,2022.03.14,
21397933,template image,模板影像；样板影像,2024.08.16,
21397934,temporal animation,时序动画,2022.03.14,
21397935,temporal data,时序资料,2022.03.14,
21397936,temporal synchronization,时间同步；时序同步,2026.02.05,
21397937,temporary map,暂时性地图；临时性地图,2022.03.14,
21397938,terrain correction,地形改正,2026.01.15,
21397939,terrain unit map,地貌单元图,2022.03.14,
21397940,text classification,文本分类,2025.04.29,
21397941,text typeface,文字字型；文字字体,2022.03.14,
21397942,text-driven object detection,文本驱动物件侦测,2026.03.12,
21397943,text-guided object detection,文本引导物件侦测,2026.03.12,
21397944,textual prompting,文本提示,2025.04.29,
21397945,texture progression,渐进式纹理,2022.08.03,
21397946,thematic map,主题地图；主题图,2022.08.03,
21397947,Thematic Mapper (TM),主题制图仪,2022.08.03,
21397948,thermal infrared scanner,热红外扫描仪,2022.08.03,
21397949,thermal printer,热感式列印机,2022.08.03,
21397950,thermohaline circulation,温盐环流,2026.04.16,
21397951,Thiessen polygon,徐升多边形,2022.08.03,
21397952,three-color process printing,三色版法印刷,2022.08.03,
21397953,three-dimensional positioning,三维定位,2022.08.03,
21397954,tidal coefficient,潮汐系数,2025.09.24,
21397955,tidal constituent,分潮,2023.03.29,
21397956,tidal current,潮流,2025.10.08,
21397957,tidal current table,潮流表,2026.04.16,
21397958,tidal day,潮汐日,2025.09.24,
21397959,tidal observation,潮位观测,2026.04.16,
21397960,tidal range,潮差,2025.09.24,
21397961,tidal zone,潮区,2025.03.06,
21397962,tide gauge,潮位计,2025.09.24,
21397963,tide pole,潮位尺,2026.04.16,
21397964,tide prediction,潮汐预报,2026.04.16,
21397965,tide table,潮汐表,2025.10.08,
21397966,tide zone,潮区,2023.03.29,
21397967,tide-raising force,潮汐力,2025.09.24,
21397968,tiling,资料分幅；分块,2022.08.03,
21397969,time delay,时间延迟,2025.03.06,
21397970,time dependent,时变；时间相依,2025.03.06,
21397971,time resolution,时间解析度,2025.10.08,
21397972,time synchronization,时间同步；时序同步,2026.02.05,
21397973,time to first fix (TTFF),首次定位时间,2025.03.06,
21397974,time variant,时变,2025.03.06,
21397975,time-dependent datum,时变基准,2025.03.06,
21397976,time-dependent reference frame,时变参考框架,2025.03.06,
21397977,timestamp,时间戳记；时间标记,2022.04.21,
21397978,time-stamped data,时间戳资料,2022.04.21,
21397979,Tissot's indicatrix,变形椭圆｛地图投影｝,2022.08.03,
21397980,tokenization,分词｛AI｝；断词｛AI｝,2025.04.29,
21397981,tone,色调,2023.07.26,
21397982,Topfer's radical law,方根定律,2023.06.12,
21397983,topographic mapping,地形测绘,2023.06.12,
21397984,topographic surface,地形面,2023.03.29,
21397985,topological property of reference system,参考系统之位相特征,2023.07.05,
21397986,Topologically Integrated Geographic Encoding and Referencing (TIGER),位相整合地理编码与参考系统,2022.08.03,
21397987,topology invariance,位相不变性,2024.08.16,
21397988,topology invariant,位相不变,2024.08.16,
21397989,total propagated uncertainty (TPU),总传播不确定度；总不确定度,2025.09.24,
21397990,touch screen,触控萤幕,2023.06.12,
21397991,touching up pixels,润色像素；修饰像素,2023.06.12,
21397992,touch-sensitive screen,触控萤幕,2023.06.12,
21397993,touch-up film,润色膜片；修饰膜片,2023.06.12,
21397994,tracing,描图,2023.06.12,
21397995,track coordinate system,轨迹系统｛高精地图｝；轨迹坐标系统｛高精地图｝,2022.03.14,
21397996,track system,轨迹系统｛高精地图｝；轨迹坐标系统 ｛高精地图｝,2022.03.14,
21397997,track while scan (TWS),扫描追踪,2023.04.12,
21397998,tracker,追踪器,2023.08.30,
21397999,tracking in GIS,GIS 资料处理追踪,2023.06.12,
21398000,tracking-by-detection,侦测追踪,2024.08.16,
21398001,tracklet,轨迹片段,2025.03.06,
21398002,tracklet association,轨迹片段关联,2025.03.06,
21398003,track-while-scan (TWS),扫描追踪,2023.04.12,
21398004,traffic controller to roadside open standard (TCROS),号志控制器与车联网路侧设施间资通讯标准,2022.04.21,
21398005,traffic light detection,交通号志侦测,2022.11.03,
21398006,traffic sign detection,交通标志侦测,2022.11.03,
21398007,transaction file,异动档案,2023.06.12,
21398008,transceiver,收发器,2023.04.12,
21398009,transducer,换能器；音鼓｛海测｝,2023.04.12,
21398010,transect sampling,样带抽样；样带采样,2023.06.12,
21398011,transfer learning,转移学习；迁移学习,2023.05.09,
21398012,transformer,转换器｛AI｝,2025.04.29,
21398013,transformer model,转换器模型｛AI｝,2025.09.24,
21398014,transiting,纵转｛经纬仪｝；转镜｛经纬仪｝,2026.03.12,
21398015,transmission copy,透射复印,2023.07.05,
21398016,transmission original,透明原稿,2023.07.05,
21398017,transmitter,发射器,2025.10.08,
21398018,tree of thoughts (ToT),思维树,2025.04.29,
21398019,triangle of error,示误三角形,2023.07.05,
21398020,trichromatic theory,三色论：三原色论,2025.09.24,
21398021,trichromatic theory of color vision,色彩视觉三色论,2025.09.24,
21398022,Tropical month,分至月,2025.09.24,
21398023,true azimuth,真方位角,2023.07.05,
21398024,true direction,地理方向；真方向,2023.08.30,
21398025,true north baseline,真北基线,2023.07.05,
21398026,true orthoimage,真实正射影像；真正射影像,2026.01.15,
21398027,true-color film,全彩底片,2023.07.26,
21398028,TrueType font,TrueType字型,2023.07.26,
21398029,two-ink combinations,双墨水组合；双墨水组合网屏色调,2023.07.26,
21398030,two-variable color progression,双变量色彩渐层,2023.07.26,
21398031,two-variable map,双变量地图,2023.07.26,
21398032,two-way travel time,来回时间,2026.01.15,
21398033,type color,字体颜色,2023.07.26,
21398034,type placement,标注配置；图面标注配置,2022.10.13,
21398035,type size,字体大小,2025.09.24,
21398036,type style,字体风格；字体类型,2023.07.05,
21398037,typeface,字体,2022.08.03,
21398038,typefont,字型,2022.08.03,
21398039,typesetting,排版,2022.05.19,
21398040,typification,模式化；典型化,2023.07.26,
21398041,typographic form,排版形式,2023.08.30,
21398042,uint area shape,单位区域形状,2023.08.30,
21398043,ultrasonic sensor,超音波感测器,2022.11.03,
21398044,ultraviolet light,紫外光,2023.08.30,
21398045,uncontrolled image mosaic,无控制影像镶嵌,2023.08.30,
21398046,under keel clearance (UKC),余裕水深；船底余裕水深,2023.03.29,
21398047,under keel clearance management (UKCM),余裕水深管理；船底余裕水深管理,2023.03.29,
21398048,under-reconstruction,低度重建,2026.02.05,
21398049,uniform distribution,均匀分布,2023.08.30,
21398050,unique hue,单一色相,2022.06.27,
21398051,unit area size,单位区域大小,2023.08.30,
21398052,unit value in dot map,点子图单位值,2023.08.30,
21398053,United States Coast and Geodetic Survey (USC&GS),美国海岸及大地测量局,2024.02.06,
21398054,United States Geological Survey (USGS),美国地质调查局,2024.02.06,
21398055,United States Navy Geodetic Satellite (GEOSAT),美国大地测量卫星,2024.02.06,
21398056,universal polar stereographic coordinate system,世界极区球面坐标系统,2024.02.06,
21398057,universal polar stereographic grid,世界极区方格图,2024.02.06,
21398058,universal polar stereographic projection,世界极区球面投影,2024.02.06,
21398059,universal transverse Mercator grid,世界横麦卡托方格图,2024.02.06,
21398060,unmanned surface vehicle (USV),无人水面载具,2023.04.12,
21398061,unmanned underwater vehicle (UUV),无人水下载具,2023.04.12,
21398062,uppercase type,大写字体,2025.09.24,
21398063,UPS coordinate system,世界极区球面坐标系统,2026.03.31,
21398064,UPS grid,世界极区方格图,2026.03.31,
21398065,UPS projection,世界极区球面投影,2026.03.31,
21398066,upwelling,涌升流,2025.10.08,
21398067,urban metaverse,城市元宇宙,2026.02.05,
21398068,utility functions in GIS,GIS工具函数,2024.02.06,
21398069,UTM grid,世界横麦卡托方格图,2026.03.31,
21398070,vacuum frame,真空晒像框,2024.02.06,
21398071,validation in GIS,GIS资料验证,2024.02.06,
21398072,value-by-area mapping,区域计量制图,2024.02.06,
21398073,vanishing gradient,梯度消失,2023.07.05,
21398074,variable choice,变量选择；变数选择,2024.02.06,
21398075,variable link,变量连结；变数连结,2024.02.06,
21398076,variable weight,变量权重；变数权重,2024.02.06,
21398077,variation ratio,变化率；变异率,2024.02.06,
21398078,variational autoencoder (VAE),变分自动编码器；变分自编码器,2026.03.31,
21398079,vector data,向量资料,2025.03.06,
21398080,vector embedding,向量嵌入,2025.03.06,
21398081,vector geocoding,向量地理编码,2025.03.06,
21398082,vector plotter,向量绘图仪；向量式绘图仪,2025.03.06,
21398083,vectorization,向量化,2025.03.06,
21398084,vehicle to everything (V2X),车联网,2022.03.14,
21398085,vehicle-to-infrastructure (V2I),汽车对基础设施,2022.04.21,
21398086,vehicle-to-motorcycle (V2M),汽车对机车,2022.04.21,
21398087,vehicle-to-pedestrian (V2P),汽车对行人,2022.04.21,
21398088,vehicle-to-roadside (V2R),汽车对路侧设备,2022.04.21,
21398089,vehicle-to-transit (V2T),汽车对公车,2022.04.21,
21398090,vehicle-to-vehicle (V2V),车对车,2022.04.21,
21398091,velocity of EMR,电磁波速度,2025.04.29,
21398092,velocity profile,速度剖面,2023.05.09,
21398093,verbal statement of map scale,文字描述的地图比例尺,2025.04.29,
21398094,verification and validation (V&V),验证及确认；验证及确效,2022.11.03,
21398095,vertical clearance,垂直间隙；垂直净空,2023.03.29,
21398096,vertical control point,高程控制点,2025.04.29,
21398097,vertical illumination,垂直照明,2025.04.29,
21398098,vertical position,垂直位置,2025.04.29,
21398099,vertical resolution,垂直解析度,2026.01.15,
21398100,vessel draft,船舶吃水,2025.10.08,
21398101,video camera,录影机,2025.09.24,
21398102,video display terminal,录影显示终端机,2025.04.29,
21398103,video frame,影片画格；影片帧,2025.04.29,
21398104,video imagery,影片影像,2025.04.29,
21398105,video technology,录影技术,2025.04.29,
21398106,videodisk,影音光碟,2025.04.29,
21398107,videography,录影术,2025.04.29,
21398108,vidicon camera,影像管摄影机,2025.04.29,
21398109,view frustum,视体；视景体；视锥,2026.02.05,
21398110,viewing frustum,视体；视景体；视锥,2026.02.05,
21398111,vignette,晕影,2025.04.29,
21398112,vignetted dot pattern,晕影网点图,2025.04.29,
21398113,virtual base station RTK (VBS-RTK),虚拟基准站之网路化即时动态定位,2025.03.06,
21398114,visibility of type,字型可视性,2025.04.29,
21398115,vision language model (VLM),视觉语言模型,2026.03.12,
21398116,vision large language model (VLLM),视觉大语言模型,2026.03.12,
21398117,vision-language foundation model,视觉语言基础模型,2026.03.12,
21398118,vision-language-action model (VLAM),视觉语言行动模型,2026.03.12,
21398119,visual acuity,明视度；视觉敏锐度,2023.12.07,
21398120,visual contrast,视觉对比,2023.12.07,
21398121,visual efficiency,视觉效率,2023.12.07,
21398122,visual field effect,视觉场效应,2023.03.02,
21398123,visual hierarchy,视觉层次,2023.12.07,
21398124,visual interface,视觉介面,2023.12.07,
21398125,visual layering,视觉分层,2025.09.24,
21398126,visual perception,视觉感知,2022.11.03,
21398127,visual prominence,视觉凸显,2023.12.07,
21398128,visual question answering (VQA),视觉问答,2026.03.12,
21398129,visual semantic retrieval,视觉语意检索,2026.03.12,
21398130,visual semantic understanding,视觉语意理解,2026.03.12,
21398131,visual SLAM,视觉同步定位与地图构建；视觉同步定位与制图；视觉同步定位与测绘,2026.02.05,
21398132,voice command,语音指令,2023.12.07,
21398133,volume rendering,立体渲染,2026.02.05,
21398134,water level reference surveys (WLRS),水位基准测量,2025.10.08,
21398135,watercolumn,水柱,2023.04.12,
21398136,wave approach angle,波浪入射角,2025.10.08,
21398137,wearable LiDAR,穿戴式光达,2026.02.05,
21398138,wide area DGNSS (WADGNSS),广域差分GNSS,2023.05.09,
21398139,wind driven current,风驱流,2025.03.06,
21398140,wind effect,风力效应,2026.04.16,
21398141,wind generated current,风驱流,2025.03.06,
21398142,wind induced current,风驱流,2025.03.06,
21398143,wind produced current,风驱流,2025.03.06,
21398144,word embedding,词嵌入,2025.09.24,
21398145,word vector,词向量,2025.09.24,
21398146,world model,世界模型,2026.03.12,
21398147,yaw,航偏角,2023.07.05,
21398148,zero error,零点误差,2026.03.12,
21398149,zero-shot learning,零样本学习,2024.08.16,
