ID,英文名詞,中文名詞,審譯日期,更新日期
21382822,decomposition,分解；分解作用,114.02.04,2025-11-13
21382823,decompression curve,解压曲线；减压曲线,114.02.04,2025-11-13
21382824,decontamination,去污；除污,113.04.25,2025-11-13
21382825,deep foundation,深基础,113.04.19,2025-11-13
21382826,deep seated landslide,深层滑坡；深层地滑,114.02.04,2025-11-13
21382827,deep-mixed pile,深层搅拌桩,113.04.19,2025-11-13
21382828,deflected pile,偏位桩；偏斜桩,114.02.04,2025-11-13
21382829,deflocculant,分散剂；解凝剂,113.04.25,2025-11-13
21382830,deflocculating agent,分散剂；去絮凝剂,114.02.04,2025-11-13
21382831,deflocculation,去絮凝作用,114.02.04,2025-11-13
21382832,deformability,变形性,113.04.25,2025-11-13
21382833,deformeter,变形仪；变形测定器,114.02.04,2025-11-13
21382834,degradation,降解；衰化,114.02.04,2025-11-13
21382835,degradation index,降解指数；衰化指数,114.02.04,2025-11-13
21382836,degree of consolidation,压密度,114.02.04,2025-11-13
21382837,degree of freedom,自由度,113.04.25,2025-11-13
21382838,degree of saturation,饱和度,114.02.04,2025-11-13
21382839,degree of shrinkage,收缩度,114.02.04,2025-11-13
21382840,dehydration test,脱水试验,114.02.04,2025-11-13
21382841,deltaic deposit,三角洲沉积物,114.02.04,2025-11-13
21382842,Demec gauge,缝隙测量计,114.02.04,2025-11-13
21382843,dense sand,紧密砂,114.02.04,2025-11-13
21382844,densification,加密；加密作用,114.02.04,2025-11-13
21382845,density bottle,比重瓶,114.02.04,2025-11-13
21382846,density index,密度指数,114.02.04,2025-11-13
21382847,density meter,密度计,114.02.04,2025-11-13
21382848,density of collapse,塌陷密度,114.02.04,2025-11-13
21382849,density of dry soil,干土密度,114.02.04,2025-11-13
21382850,density of saturated soil,饱和土密度,114.02.04,2025-11-13
21382851,density of soil,土壤密度,114.02.04,2025-11-13
21382852,density of solid particles,土粒密度,114.02.04,2025-11-13
21382853,density of submerged soil,浸没土密度,114.02.04,2025-11-13
21382854,density of water,水密度,114.02.04,2025-11-13
21382855,density probe,密度探测仪,114.02.04,2025-11-13
21382856,densometer,密度计；比重计,114.02.04,2025-11-13
21382857,denudation,剥蚀作用,114.02.04,2025-11-13
21382858,deposit,沉积；沉积物,114.02.04,2025-11-13
21382859,deposition point,最远沉积点,114.02.04,2025-11-13
21382860,depression cone,水位泄降锥,114.02.04,2025-11-13
21382861,depth factor,埋深因数,114.02.04,2025-11-13
21382862,depth of flow,水流深度,113.04.25,2025-11-13
21382863,depth of foundation,基础埋置深度,114.02.04,2025-11-13
21382864,depth of penetration,贯入深度,114.02.04,2025-11-13
21382865,depth of scour,冲刷深度,114.02.04,2025-11-13
21382866,depth ratio,埋深比,114.02.04,2025-11-13
21382867,derrick barge,浮式起重机,114.02.04,2025-11-13
21382868,design discharge,设计流量,113.04.25,2025-11-13
21382869,designated separating sieve,指定分离筛,113.04.25,2025-11-13
21382870,desilting material,清淤料；疏浚料,114.02.04,2025-11-13
21382871,deswamping,去沼泽化,114.02.04,2025-11-13
21382872,detailed exploration,细部探勘；详细探勘,114.02.04,2025-11-13
21382873,detailed geotechnical investigation,细部大地工程调查,114.02.04,2025-11-13
21382874,detailed survey,细部测量；详细测量,114.02.04,2025-11-13
21382875,detection limit,侦测限度,113.04.25,2025-11-13
21382876,detection monitoring,侦测监控,113.04.25,2025-11-13
21382877,detonating relay,起爆器,114.02.04,2025-11-13
21382878,detonator,雷管,114.02.04,2025-11-13
21382879,detrital sediment,碎屑沉积,114.02.04,2025-11-13
21382880,detritus,岩屑；碎屑,114.02.04,2025-11-13
21382881,deviator stress,轴差应力,114.02.04,2025-11-13
21382882,deviatoric state of stress,轴差应力状态,114.02.04,2025-11-13
21382883,deviatoric strain,轴差应变,113.04.25,2025-11-13
21382884,deviatoric stress,轴差应力,114.02.04,2025-11-13
21382885,Devonian,泥盆纪；泥盆系,114.02.04,2025-11-13
21382886,dewatering,袪水；降水位；脱水,114.02.04,2025-11-13
21382887,D-horizon,D层；下伏岩土层,114.02.04,2025-11-13
21382888,diagenesis,成岩作用,114.02.04,2025-11-13
21382889,dial gauge,测微计,114.03.05,2025-11-13
21382890,diaphragm,连续壁；隔板,114.03.05,2025-11-13
21382891,diaphragm wall,连续壁,114.03.05,2025-11-13
21382892,dielectric dispersion,介电分散,114.03.05,2025-11-13
21382893,differential frost heave,不均匀冻胀,114.03.05,2025-11-13
21382894,differential global positioning system (DGPS),差分全球定位系统,114.03.05,2025-11-13
21382895,differential heave,差异隆起；不均匀隆起,114.03.05,2025-11-13
21382896,differential settlement,差异沉陷；不均匀沉陷,114.03.05,2025-11-13
21382897,differential thermal analysis,差热分析,114.03.05,2025-11-13
21382898,differential-acting steam hammer,差动汽锤,114.03.05,2025-11-13
21382899,difficult ground,困难地盘,114.03.05,2025-11-13
21382900,diffuse double layer,扩散电双层,114.03.05,2025-11-13
21382901,diffuse flow,扩散流,114.03.05,2025-11-13
21382902,diffusion potential,扩散势能,114.03.05,2025-11-13
21382903,digital echo sounder,数位回声测深仪,114.03.05,2025-11-13
21382904,digital map,数位地图,114.03.05,2025-11-13
21382905,digital tape,数位磁带,114.03.05,2025-11-13
21382906,digitizer,数化仪,114.03.05,2025-11-13
21382907,dilatancy,膨胀性；剪胀性,114.03.05,2025-11-13
21382908,dilatation,膨胀；扩张,114.03.05,2025-11-13
21382909,dilatational wave,膨胀波,114.03.05,2025-11-13
21382910,dilation,膨胀；扩张,114.03.05,2025-11-13
21382911,dilation rate,膨胀率,114.03.05,2025-11-13
21382912,dilatometer,膨胀仪；膨胀计,114.03.05,2025-11-13
21382913,diluvium,洪积层,114.03.05,2025-11-13
21382914,dimensional analysis,因次分析,114.03.05,2025-11-13
21382915,diorite,闪长岩,114.03.05,2025-11-13
21382916,dip,倾斜；倾向,114.03.05,2025-11-13
21382917,dipmeter,测倾仪,114.03.05,2025-11-13
21382918,dipole,偶极,114.03.05,2025-11-13
21382919,direct shear apparatus,直接剪力仪；直剪仪,114.03.05,2025-11-13
21382920,direct shear test,直剪试验,114.03.05,2025-11-13
21382921,direct simple shear test,直接单剪试验,114.03.05,2025-11-13
21382922,disaggregation,崩解,114.03.05,2025-11-13
21382923,discharge velocity,放流速度,113.04.25,2025-11-13
21382924,disconformeable plane,假整合,114.03.05,2025-11-13
21382925,disconformity,不整合,114.03.05,2025-11-13
21382926,discontinuity,不连续面,114.03.19,2025-11-13
21382927,discretization,离散化,114.03.19,2025-11-13
21382928,disintegration,崩解；分解,114.03.19,2025-11-13
21382929,dislocation,错位；差排,114.03.19,2025-11-13
21382930,dispersion,分散作用,114.03.19,2025-11-13
21382931,dispersive soil,分散性土壤,114.03.19,2025-11-13
21382932,displacement,位移,114.03.19,2025-11-13
21382933,displacement gradient field,位移梯度场,114.03.19,2025-11-13
21382934,displacement gradient tensor,位移梯度张量,114.03.19,2025-11-13
21382935,displacement grouting,挤入灌浆,113.04.25,2025-11-13
21382936,displacement increment,位移增量,114.03.19,2025-11-13
21382937,displacement pile,位移桩,114.03.19,2025-11-13
21382938,disposal dump,垃圾处理场,114.03.19,2025-11-13
21382939,dissipation,消散,114.03.19,2025-11-13
21382940,dissipation test,消散试验,114.03.19,2025-11-13
21382941,dissolved oxygen,溶氧,114.03.19,2025-11-13
21382942,dissolved salts,溶解盐类,114.03.19,2025-11-13
21382943,distortion,扭曲变形；扭曲；扭变,113.04.25,2025-11-13
21382944,distortional wave,扭曲波,114.03.19,2025-11-13
21382945,disturbed sample,扰动土样；扰动样本,114.03.19,2025-11-13
21382946,disturbed soil,扰动土壤,114.03.19,2025-11-13
21382947,disturbed soil sample,扰动土样,113.04.19,2025-11-13
21382948,divergence loss,发散损耗；扩散损耗,113.04.25,2025-11-13
21382949,dock,船坞；码头,114.03.19,2025-11-13
21382950,dolerite,辉绿岩；粗粒玄武岩,114.03.19,2025-11-13
21382951,dolerite dyke,辉绿岩岩脉；粗粒玄武岩岩脉,114.03.19,2025-11-13
21382952,doline,陷穴；陷坑；渗穴,114.03.19,2025-11-13
21382953,dolomite,白云石；白云岩,114.03.19,2025-11-13
21382954,dome foundation,穹顶结构基础,114.03.19,2025-11-13
21382955,Doppler effect,都卜勒效应,114.03.19,2025-11-13
21382956,double amplitude,双振幅,114.03.19,2025-11-13
21382957,double layer,双层；电双层,114.03.19,2025-11-13
21382958,double shear test,双面剪切试验；双剪试验,114.03.19,2025-11-13
21382959,double track tunnel,双轨隧道,114.03.19,2025-11-13
21382960,dowel bar,缀缝筋；榫筋；传力杆,114.03.19,2025-11-13
21382961,downhole method,下孔法,114.03.19,2025-11-13
21382962,downhole seismic test,下孔式震测法,114.03.19,2025-11-13
21382963,draft plan,草案计划,114.03.19,2025-11-13
21382964,drag bit,曳引钻头,113.04.25,2025-11-13
21382965,drag force,拖曳力；阻力,114.03.19,2025-11-13
21382966,draghead,拖曳吸头,114.03.19,2025-11-13
21382967,drainage blanket,排水垫层,114.03.19,2025-11-13
21382968,drainage channel,排水渠；排水道,114.03.19,2025-11-13
21382969,drainage curtain,排水幕,113.04.25,2025-11-13
21382970,drainage gallery,排水廊道,114.03.19,2025-11-13
21382971,drainage material,排水材料,114.03.19,2025-11-13
21382972,drainage path,排水路径,114.03.19,2025-11-13
21382973,drainage reserve,排水保留区,114.03.19,2025-11-13
21382974,drainage well,排水井,114.03.19,2025-11-13
21382975,drained shear test,排水剪切试验,114.03.19,2025-11-13
21382976,drained triaxial test,排水三轴试验,114.03.19,2025-11-13
21382977,drawdown,泄降,114.03.19,2025-11-13
21382978,drawdown ratio,降水比,114.03.19,2025-11-13
21382979,dredge level,疏浚标高,114.04.23,2025-11-13
21382980,dredge loss,疏浚损失,114.04.23,2025-11-13
21382981,dredgeability,疏浚能力,114.04.23,2025-11-13
21382982,dredged material,浚渫料,114.04.23,2025-11-13
21382983,dredging,浚渫；疏浚；挖泥；挖掘,114.04.23,2025-11-13
21382984,dressed block,修整石块,114.04.23,2025-11-13
21382985,drill,钻；钻机,113.04.25,2025-11-13
21382986,drill bit,钻头,114.04.23,2025-11-13
21382987,drill cuttings,钻屑,113.04.25,2025-11-13
21382988,drill rig,钻探机具,114.04.23,2025-11-13
21382989,drill rod,钻杆,114.04.23,2025-11-13
21382990,drillability,可钻性,113.04.25,2025-11-13
21382991,drilled caisson,钻掘沉箱,114.04.23,2025-11-13
21382992,drilled shaft,钻掘桩；钻掘墩柱,114.04.23,2025-11-13
21382993,driller,钻机,114.04.23,2025-11-13
21382994,drilling,钻,114.04.23,2025-11-13
21382995,drilling fluid,钻孔液,114.04.23,2025-11-13
21382996,drilling hole,钻孔,114.04.23,2025-11-13
21382997,drilling log,钻孔柱状图；钻孔井录,114.04.23,2025-11-13
21382998,drilling machine,钻孔机,114.04.23,2025-11-13
21382999,drilling mud,钻孔泥浆,114.04.23,2025-11-13
21383000,drilling record,钻孔记录,114.04.23,2025-11-13
21383001,drilling rig,钻机,114.04.23,2025-11-13
21383002,drive sampler,打入式取样器,114.04.23,2025-11-13
21383003,driven pile,打击桩；打入桩,113.04.19,2025-11-13
21383004,driving formula,打桩公式,114.04.23,2025-11-13
21383005,driving test,打桩试验,114.04.23,2025-11-13
21383006,drop hammer,落锤；重力落锤,114.04.23,2025-11-13
21383007,Drucker-Prager criterion,杜拉克-普拉格准则,114.04.23,2025-11-13
21383008,dry bulk density,干统体密度,113.04.25,2025-11-13
21383009,dry compaction,干夯实,114.04.23,2025-11-13
21383010,dry density,干密度,114.04.23,2025-11-13
21383011,dry film thickness,干膜厚度,114.04.23,2025-11-13
21383012,dry oven,烘箱,114.04.23,2025-11-13
21383013,dry rodding,干捣；干捣实,114.04.23,2025-11-13
21383014,dry sieving,干筛,114.04.23,2025-11-13
21383015,dry unit weight,干单位重,114.04.23,2025-11-13
21383016,ductile iron,延性铸铁,114.04.23,2025-11-13
21383017,ductility,延展性；延性,114.04.23,2025-11-13
21383018,dumping site,卸土区,114.04.23,2025-11-13
21383019,dumping truck,卸土车,114.04.23,2025-11-13
21383020,dune,砂丘,114.04.23,2025-11-13
21383021,Dupuit equation,杜布依特方程式,114.04.23,2025-11-13
21383022,durability,耐久性,113.04.19,2025-11-13
21383023,dustpan dredger,簸箕式疏浚机,114.04.23,2025-11-13
21383024,Dutch cone penetrometer,荷兰锥贯入仪,114.04.23,2025-11-13
21383025,Dutch cone test,荷兰锥贯入试验,114.04.23,2025-11-13
21383026,dye tracer,染料示踪剂,113.04.25,2025-11-13
21383027,dynamic analysis,动态分析；动力分析,114.04.23,2025-11-13
21383028,dynamic compaction,动力夯实,114.04.23,2025-11-13
21383029,dynamic cone penetrometer,动态圆锥贯入仪,114.04.23,2025-11-13
21383030,dynamic consolidation,动力压密,114.04.23,2025-11-13
21383031,dynamic elastic modulus,动态弹性模数,114.04.23,2025-11-13
21383032,dynamic load,动态荷载,114.04.23,2025-11-13
21383033,dynamic magnification factor,动态放大因数,114.04.23,2025-11-13
21383034,dynamic resistance,动态阻力,114.04.23,2025-11-13
21383035,dynamic strain,动态应变,114.04.23,2025-11-13
21383036,dynamic stress,动态应力,114.04.23,2025-11-13
21383037,dynamic subgrade reaction,动态地基反力；动态地盘反力,114.04.23,2025-11-13
21383038,dynamic triaxial test,动力三轴试验,114.04.23,2025-11-13
21383039,dynamic viscosity,动态黏度,114.04.23,2025-11-13
21383040,dynamite,代纳迈炸药；硝化甘油炸药,114.04.23,2025-11-13
21383041,earth anchor,地锚,114.04.23,2025-11-13
21383042,earth auger,螺旋钻,114.04.23,2025-11-13
21383043,earth borer,钻土器,114.04.23,2025-11-13
21383044,earth cofferdam,土堤围堰,114.04.23,2025-11-13
21383045,earth crust,地壳,114.04.23,2025-11-13
21383046,earth dam,土坝,114.05.21,2025-11-13
21383047,earth embankment,土堤；土堰,114.04.23,2025-11-13
21383048,earth excavation,土方开挖；挖土,114.04.23,2025-11-13
21383049,earth fill cofferdam,填土围堰,114.04.23,2025-11-13
21383050,earth load,土壤荷载,114.04.23,2025-11-13
21383051,earth pile,土桩,114.04.23,2025-11-13
21383052,earth pressure,土压力；土压,114.04.23,2025-11-13
21383053,earth pressure at rest,静止土压力,113.04.19,2025-11-13
21383054,earth pressure coefficient,土压力系数,114.04.23,2025-11-13
21383055,earth pressure theory,土压力理论,113.10.22,2025-11-13
21383056,earth science,地球科学,114.04.23,2025-11-13
21383057,earth slump,土石坍滑,114.04.23,2025-11-13
21383058,earthenware pipe,陶管,114.04.23,2025-11-13
21383059,earthfill slope,填方边坡；填土边坡,114.04.23,2025-11-13
21383060,earthquake fault,地震断层,114.05.21,2025-11-13
21383061,earthquake focus,震源,114.05.21,2025-11-13
21383062,earthquake force,地震力,114.05.21,2025-11-13
21383063,earthquake hazard assessment,地震灾害评估,114.05.21,2025-11-13
21383064,earthquake intensity,地震震度,114.05.21,2025-11-13
21383065,earthquake magnitude,地震规模,114.05.21,2025-11-13
21383066,earthquake prediction,地震预测,114.05.21,2025-11-13
21383067,earthquake resistant design,耐震设计,114.05.21,2025-11-13
21383068,earthquake response spectrum,地震反应谱,114.05.21,2025-11-13
21383069,earthquake subsidence,震陷,114.05.21,2025-11-13
21383070,earthquake wave,地震波,114.05.21,2025-11-13
21383071,earthquake-proof foundation,抗震基础,114.05.21,2025-11-13
21383072,earthquake-proof joint,耐震接头,114.05.21,2025-11-13
21383073,eccentricity,偏心率；偏心距,114.05.21,2025-11-13
21383074,eccentricity coefficient,偏心系数,114.05.21,2025-11-13
21383075,echo sounding,回声测深,114.05.21,2025-11-13
21383076,edge-to-face flocculation,边对面絮凝,114.05.21,2025-11-13
21383077,effect of surcharge,超载效应,114.05.21,2025-11-13
21383078,effective angle of internal friction,有效内摩擦角,114.05.21,2025-11-13
21383079,effective cohesion,有效凝聚力,114.05.21,2025-11-13
21383080,effective drainage porosity,有效排水孔隙率,113.04.25,2025-11-13
21383081,effective force,有效力,113.04.25,2025-11-13
21383082,effective grain size,有效粒径,114.05.21,2025-11-13
21383083,effective normal stress,有效正应力；有效正向应力,114.05.21,2026-04-30
21383084,effective overburden pressure,有效覆盖压力,114.05.21,2025-11-13
21383085,effective stress,有效应力,114.05.21,2025-11-13
21383086,effective stress parameter,有效应力参数,114.05.21,2025-11-13
21383087,effective stress path,有效应力路径,114.05.21,2025-11-13
21383088,effective unit weight,有效单位重,114.05.21,2025-11-13
21383089,efficiency formula,效率公式,114.05.21,2025-11-13
21383090,efflux time,射流时间,113.04.25,2025-11-13
21383091,elastic beam,弹性梁,114.05.21,2025-11-13
21383092,elastic compression,弹性压缩,114.05.21,2025-11-13
21383093,elastic constant,弹性常数,114.05.21,2025-11-13
21383094,elastic distortion,弹性扭曲变形；弹性畸变,114.05.21,2026-04-30
21383095,elastic equilibrium,弹性平衡,114.05.21,2025-11-13
21383096,elastic half-space theory,弹性半空间理论,114.05.21,2025-11-13
21383097,elastic heave,弹性隆起,114.05.21,2025-11-13
21383098,elastic line,弹性线,114.05.21,2025-11-13
21383099,elastic medium,弹性介质,114.05.21,2025-11-13
21383100,elastic semi-infinite body,弹性半无限体,114.05.21,2025-11-13
21383101,elastic state of equilibrium,弹性平衡状态,114.05.21,2025-11-13
21383102,elastic subgrade reaction,弹性路基反力,114.05.21,2025-11-13
21383103,elastic visco-plastic model,弹黏塑性模式,114.05.21,2025-11-13
21383104,elastic wall,弹性墙,114.05.21,2025-11-13
21383105,elastic wave,弹性波,114.05.21,2025-11-13
21383106,elastic-plastic behavior,弹塑性行为,114.05.21,2025-11-13
21383107,elastic-plastic model,弹塑性模式,114.05.21,2025-11-13
21383108,elastic-plastic solid,弹塑性体,114.05.21,2025-11-13
21383109,elastic-plasticity of soil,土壤弹塑性,114.05.21,2025-11-13
21383110,elasto-plastic model,弹塑性模式,113.05.22,2025-11-13
21383111,elasto-plasticity theory,弹塑性理论,114.05.21,2025-11-13
21383112,electric crane,电动起重机,114.05.21,2025-11-13
21383113,electric detonator,电雷管,114.05.21,2025-11-13
21383114,electric double layer,电双层,114.05.21,2025-11-13
21383115,electric log,电井测,113.04.25,2025-11-13
21383116,electric profiling,电测剖面法,114.05.21,2025-11-13
21383117,electrical piezometer,电子水压计,114.05.21,2025-11-13
21383118,electrical prospecting,电探法,114.05.21,2025-11-13
21383119,electrical resistivity,电阻率,114.05.21,2025-11-13
21383120,electrical sounding,电探,114.05.21,2025-11-13
21383121,electrochemical effect,电化学效应,114.05.21,2025-11-13
21383122,electrochemical hardening,电化学加固,114.05.21,2025-11-13
21383123,electrochemical process,电化程序,114.05.21,2025-11-13
21383124,electrochemical soil stabilization,电化学土壤稳固,113.04.19,2025-11-13
21383125,electrochemical stabilization,电化学稳固,114.05.21,2025-11-13
21383126,electrokinetic coupling,电动耦合,114.05.21,2025-11-13
21383127,electrokinetic phenomena,电动现象,114.05.21,2025-11-13
21383128,electrokinetic potential,电位,114.05.21,2025-11-13
21383129,electrokinetics,电动力学,113.04.25,2025-11-13
21383130,electromagnetic attraction,电磁引力,114.06.23,2025-11-13
21383131,electromagnetic oscillator,电磁振荡器,114.06.23,2025-11-13
21383132,electromagnetic prospecting,电磁探勘,114.06.23,2025-11-13
21383133,electromagnetic subsurface probing,电磁地下探测,114.06.23,2025-11-13
21383134,electron microscope,电子显微镜,114.06.23,2025-11-13
21383135,electronic chart,电子海图,114.06.23,2025-11-13
21383136,electronic distance measurement,电子测距法,114.06.23,2025-11-13
21383137,electronic map,电子地图,114.06.23,2025-11-13
21383138,electro-osmosis,电渗,114.06.23,2025-11-13
21383139,electro-osmosis consolidation,电渗透压密,113.12.03,2025-11-13
21383140,electro-osmosis drainage,电渗排水,114.03.19,2025-11-13
21383141,electro-osmotic drainage,电渗排水,114.06.23,2025-11-13
21383142,electro-osmotic stabilization,电渗加固,114.06.23,2025-11-13
21383143,electro-osmotic transmission coefficient,电渗传导系数,114.06.23,2025-11-13
21383144,electrostatic force,静电力,114.06.23,2025-11-13
21383145,elevated interchange,高架交流道,114.06.23,2025-11-13
21383146,elevation of borehole,孔口高程；钻孔高程,114.06.23,2025-11-13
21383147,e-log p curve,孔隙比-对数压力曲线；孔隙比-对数平均有效压力曲线,114.06.23,2025-11-13
21383148,elutriation test,淘析试验,114.06.23,2025-11-13
21383149,eluvial soil,淋洗残积土；淋滤残积土,114.06.23,2025-11-13
21383150,eluviation,淋洗作用；淋滤作用,114.06.23,2025-11-13
21383151,eluvium,淋洗残积层,114.06.23,2025-11-13
21383152,embankment,岸堤,113.05.22,2025-11-13
21383153,embankment dam,堆填坝,114.06.23,2025-11-13
21383154,embeded construction,嵌埋式构造,114.06.23,2025-11-13
21383155,embeded depth,埋置深度,114.06.23,2025-11-13
21383156,embedment,埋置；埋置物,114.06.23,2025-11-13
21383157,emergency works,紧急工程,114.06.23,2025-11-13
21383158,end restraint effect,端部约束效应,114.06.23,2025-11-13
21383159,end-bearing pile,点承桩,114.06.23,2025-11-13
21383160,endochronic theory,内涵时间理论,114.06.23,2025-11-13
21383161,end-tipping,端倾卸,114.06.23,2025-11-13
21383162,energy ratio,能量比,114.06.23,2025-11-13
21383163,engineered fill,工程填料,114.06.23,2025-11-13
21383164,engineering geological condition,工程地质条件,114.06.23,2025-11-13
21383165,engineering geological evaluation,工程地质评估,114.06.23,2025-11-13
21383166,engineering geological exploration,工程地质探勘,114.06.23,2025-11-13
21383167,engineering geological investigation,工程地质调查,114.06.23,2025-11-13
21383168,engineering geological map,工程地质图,114.06.23,2025-11-13
21383169,engineering geological mapping,工程地质绘图；工程地质测绘,114.06.23,2025-11-13
21383170,engineering geological prospecting,工程地质勘察,114.06.23,2025-11-13
21383171,Engineering News formula,工程新闻打桩公式,114.06.23,2025-11-13
21383172,engineering practice,工程实务,114.06.23,2025-11-13
21383173,engineering property,工程性质,114.06.23,2025-11-13
21383174,engineering survey,工程测量,114.06.23,2025-11-13
21383175,engineering treatment,工程处理,114.06.23,2025-11-13
21383176,enlarged base,扩座,114.06.23,2025-11-13
21383177,entrained material,携带物,114.06.23,2025-11-13
21383178,entrainment factor,传输因子；传输因数,114.06.23,2025-11-13
21383179,envelope grouting,包络灌浆,113.04.25,2025-11-13
21383180,environmental data,环境资料,114.06.23,2025-11-13
21383181,environmental effect,环境效应,114.06.23,2025-11-13
21383182,environmental engineering geology,环境工程地质学,114.06.23,2025-11-13
21383183,environmental factor,环境因子；环境因数,114.06.23,2025-11-13
21383184,environmental geology,环境地质学,114.06.23,2025-11-13
21383185,environmental hydrogeology,环境水文地质学,114.06.23,2025-11-13
21383186,environmentally sensitive industries,环境敏感产业,114.06.23,2025-11-13
21383187,eolian deposit,风积土,114.06.23,2025-11-13
21383188,epeirogenic movement,造陆运动,114.06.23,2025-11-13
21383189,epeirogeny,造陆作用,114.06.23,2025-11-13
21383190,epicenter,震央,114.06.23,2025-11-13
21383191,equation,公式；方程式,114.06.23,2025-11-13
21383192,equipotential line,等势能线；等位线,114.06.23,2025-11-13
21383193,equivalent angle of internal friction,等效内摩擦角,114.06.23,2025-11-13
21383194,equivalent consolidation pressure,等效压密压力,114.06.23,2025-11-13
21383195,equivalent damping ratio,等效阻尼比,114.06.23,2025-11-13
21383196,equivalent diameter,等效直径,114.06.23,2025-11-13
21383197,equivalent fluid,等效流体,114.06.23,2025-11-13
21383198,equivalent grain size,等效粒径,114.06.23,2025-11-13
21383199,equivalent soil layer method,等效土层法；等值土层法,114.06.23,2025-11-13
21383200,equivalent specific heat,等效比热,114.06.23,2025-11-13
21383201,equivalent stress,等效应力,114.06.23,2025-11-13
21383202,equivalent time,等效时间,114.06.23,2025-11-13
21383203,equivalent weight replacement method,等效重量置换法,114.06.23,2025-11-13
21383204,equivoluminal wave,等体积波,114.06.23,2025-11-13
21383205,erosion activity,侵蚀作用,114.06.23,2025-11-13
21383206,erosion control blanket (ECB),防蚀护毯,113.04.25,2025-11-13
21383207,erosion gully,侵蚀沟；冲蚀沟,114.06.23,2025-11-13
21383208,erosion surface,侵蚀面,114.06.23,2025-11-13
21383209,establishment period,创设期,114.07.31,2025-11-13
21383210,estavelle,岩溶消溢穴,114.07.31,2025-11-13
21383211,estuarine deposit,河口沉积物,114.07.31,2025-11-13
21383212,excavation works,开挖工程，挖掘工程,114.07.31,2025-11-13
21383213,excavator,挖土机,114.07.31,2025-11-13
21383214,excess pore water pressure,超额孔隙水压,114.07.31,2025-11-13
21383215,exchange capacity,交换能力；交换容量,113.04.25,2025-11-13
21383216,excitation,激发,114.07.31,2025-11-13
21383217,exit angle,流出角；出射角,114.07.31,2025-11-13
21383218,exit gradient,流出梯度,114.07.31,2025-11-13
21383219,exogenic geological hazard,外营地质灾害,114.07.31,2025-11-13
21383220,exogenous process,外营作用,114.07.31,2025-11-13
21383221,expandability,扩充性,114.07.31,2025-11-13
21383222,expanding auger,扩孔钻,114.07.31,2025-11-13
21383223,expansion index,膨胀指数,114.07.31,2025-11-13
21383224,expansive soil,膨胀土；膨胀性土,114.07.31,2025-11-13
21383225,exploitation,开发；开采 ,114.07.31,2025-11-13
21383226,exploration,探勘；探查,114.07.31,2025-11-13
21383227,exploratory adit,探查横坑,114.07.31,2025-11-13
21383228,exploratory borehole,探查钻孔,114.07.31,2025-11-13
21383229,exploratory phase,探查阶段；探勘阶段,114.07.31,2025-11-13
21383230,exploratory pit,探查坑,114.07.31,2025-11-13
21383231,exploratory point,探查点,114.07.31,2025-11-13
21383232,exploratory shaft,探查井；探测井,114.07.31,2025-11-13
21383233,exploratory trench,探查槽沟,114.07.31,2025-11-13
21383234,explosive compaction,炸震夯实,114.07.31,2025-11-13
21383235,explosives depot,炸药库,114.07.31,2025-11-13
21383236,extension,伸张,113.04.25,2025-11-13
21383237,extension test,伸张试验,114.07.31,2025-11-13
21383238,extensometer,伸张计；伸缩仪,114.07.31,2025-11-13
21383239,external water pressure,外水压力,114.07.31,2025-11-13
21383240,extract,萃取,114.07.31,2025-11-13
21383241,extractor,拔桩机；萃取器,114.07.31,2025-11-13
21383242,extrados,拱背；外弧线,113.04.25,2025-11-13
21383243,extrapolation,外推法,114.07.31,2025-11-13
21383244,extra-sensitive clay,超灵敏性黏土,114.07.31,2025-11-13
21383245,extreme event,极端事件,114.07.31,2025-11-13
21383246,extreme loading condition,极端荷载条件,114.07.31,2025-11-13
21383247,extruder,顶土器,114.07.31,2025-11-13
21383248,extrusion test,挤出试验,114.07.31,2025-11-13
21383249,extrusive rock,喷出岩,114.07.31,2025-11-13
21383250,fabric,织物；组构,113.04.25,2025-11-13
21383251,fabric analysis,组构分析,114.07.31,2025-11-13
21383252,fabric anisotropy,组构异向性,114.07.31,2025-11-13
21383253,fabric form,组构形式；织物型态,114.07.31,2025-11-13
21383254,fabric peak strength,织物尖峰强度,114.07.31,2025-11-13
21383255,facing stone,面层石；护层石,114.07.31,2025-11-13
21383256,factor,因数；系数；因素,114.07.31,2025-11-13
21383257,factor of reduction,折减因数,114.07.31,2025-11-13
21383258,factor of safety,安全因数；安全系数,114.07.31,2025-11-13
21383259,factor of safety against overturning,抗倾倒安全因数；抗倾倒安全系数,114.07.31,2025-11-13
21383260,factor of safety against sliding,抗滑安全因数；抗滑安全系数,114.07.31,2025-11-13
21383261,failure,破坏；失效,114.07.31,2025-11-13
21383262,failure criterion,破坏准则,114.07.31,2025-11-13
21383263,failure envelope,破坏包络线；破坏包络面,114.07.31,2025-11-13
21383264,failure mechanism,破坏机制,114.07.31,2025-11-13
21383265,failure plane,破坏面,114.07.31,2025-11-13
21383266,failure scar,崩崖；崩塌残壁,114.07.31,2025-11-13
21383267,failure strain,破坏应变,114.07.31,2025-11-13
21383268,failure stress,破坏应力,114.07.31,2025-11-13
21383269,failure surface,破坏面,114.07.31,2025-11-13
21383270,failure volume,坍塌体积；崩塌体积,114.07.31,2025-11-13
