ID,英文詞彙,中文詞彙,審譯日期,更新日期
21403920,post-and-beam construction,柱梁式构造,114.08.30,2026-06-29
21403921,power distribution room,配电室,114.08.30,2026-06-29
21403922,power venting,机械通风；强制通风,114.08.30,2026-06-29
21403923,precast segmental method,预铸节块工法｛桥梁｝,114.08.30,2026-06-29
21403924,prehung door,门组,114.08.30,2026-06-29
21403925,preliminary acceptance,初步验收,115.05.05,2026-06-29
21403926,prepayment penalty,提前偿付罚金,114.08.30,2026-06-29
21403927,pressure treated wood (PT wood),加压处理木材；防腐木,114.08.30,2026-06-29
21403928,prime cost,主要成本,115.05.05,2026-06-29
21403929,principal,被保证人,114.08.30,2026-06-29
21403930,"principal, interest, taxes, and insurance (PITI)",本金、利息、税金与保险费,114.08.30,2026-06-29
21403931,principles of contract award,决标原则,115.05.05,2026-06-29
21403932,probable maximum loss,最大可能损失{保险},115.06.02,2026-06-29
21403933,procurement identification,采购识别,115.05.05,2026-06-29
21403934,procurement not subject to any treaties or agreements,非条约协定采购,115.05.05,2026-06-29
21403935,procurement personnel,采购人员,115.05.05,2026-06-29
21403936,procurement value,采购金额,115.05.05,2026-06-29
21403937,procuring entity,采购单位,114.08.30,2026-06-29
21403938,profile grade (PG),纵坡度｛路工｝,114.08.30,2026-06-29
21403939,profile grade line (PGL),纵坡基线｛路工｝,114.08.30,2026-06-29
21403940,profilograph,平坦仪；轮廓仪,114.08.30,2026-06-29
21403941,Property Assessed Clean Energy (PACE) loan,PACE融资方案；建物清洁能源融资方案,114.08.30,2026-06-29
21403942,"property, plant and equipment (PP&E)",不动产、厂房及设备,114.08.30,2026-06-29
21403943,protest entity,受理异议机构,115.05.05,2026-06-29
21403944,public construction management information system,公共工程管理资讯系统,115.05.05,2026-06-29
21403945,public participation in construction surveillance,全民督工,115.05.05,2026-06-29
21403946,publication of tender awarding,决标公告,115.05.05,2026-06-29
21403947,pump mix,泵送混凝土配比,114.08.30,2026-06-29
21403948,pumpability,可泵度,114.08.30,2026-06-29
21403949,purchase and sale agreement (PSA),采购协议；买卖契约,115.05.05,2026-06-29
21403950,purchasing agency,采购机关,115.05.05,2026-06-29
21403951,pycnostyle,1.5倍柱径间距排列｛古建筑｝；密柱式,115.05.05,2026-06-29
21403952,Q system,Q系统｛岩体分类｝,114.08.30,2026-06-29
21403953,qualified written request (QWR),合格书面请求,114.08.30,2026-06-29
21403954,quality assurance management,品质保证管理,115.05.05,2026-06-29
21403955,quality control personnel,品质管制人员,115.05.05,2026-06-29
21403956,quality management system,品质管理系统,115.05.05,2026-06-29
21403957,quality manual,品质手册,115.05.05,2026-06-29
21403958,quality objective,品质目标,115.05.05,2026-06-29
21403959,quality organization,品管组织,115.05.05,2026-06-29
21403960,quality plan,品质计划,115.05.05,2026-06-29
21403961,quality policy,品质政策,115.05.05,2026-06-29
21403962,quality procedure,品质程序,115.05.05,2026-06-29
21403963,quality validation,品质确效,115.05.05,2026-06-29
21403964,quality verification,品质验证,115.05.05,2026-06-29
21403965,quarter round,圆角收边,114.08.30,2026-06-29
21403966,quartz flooring,石英树脂地板,114.08.30,2026-06-29
21403967,quench,淬火；骤冷,114.08.30,2026-06-29
21403968,question deadline,释疑请求期限,115.05.05,2026-06-29
21403969,rafter tie,屋架下系梁,113.10.01,2026-06-29
21403970,rainwater head,雨水斗；落水斗,114.08.30,2026-06-29
21403971,raised floor,高架地板；活动地板,114.08.30,2026-06-29
21403972,rake board,博风板；破风板,114.08.30,2026-06-29
21403973,ranch house,牧场式房屋,114.08.30,2026-06-29
21403974,rapid-hardening cement,速硬水泥；快干水泥,114.08.30,2026-06-29
21403975,Rational Formula,合理化公式｛水利｝,114.08.30,2026-06-29
21403976,ravine,峡谷；沟壑；沟谷 ,114.08.30,2026-06-29
21403977,ready mixed paint,调和漆,114.08.30,2026-06-29
21403978,ready-mixed concrete,预拌混凝土,114.08.30,2026-06-29
21403979,reasonably close conformity,合理近似符合,115.05.05,2026-06-29
21403980,recessed grid,半明架；内嵌式架｛天花板｝,114.08.30,2026-06-29
21403981,recording fee,地政登记规费,114.08.30,2026-06-29
21403982,red iron,赤铁,114.08.30,2026-06-29
21403983,red lead paint,红丹漆,114.08.30,2026-06-29
21403984,redline drawing,变更设计图,114.08.30,2026-06-29
21403985,reflective crack,反射裂缝,114.08.30,2026-06-29
21403986,reflective glass,反射玻璃,114.08.30,2026-06-29
21403987,reflective insulation,反射隔热； 反射绝缘,114.08.30,2026-06-29
21403988,refuge indicating lamp,避难指示灯,115.05.05,2026-06-29
21403989,register,格栅出风口,114.08.30,2026-06-29
21403990,rehabilitate-operate-transfer (ROT),改建-营运-移转,114.08.30,2026-06-29
21403991,relocation work,迁移作业,115.05.05,2026-06-29
21403992,remaining materials,剩余料；残料,115.05.05,2026-06-29
21403993,repayment plan,偿还计划,114.08.30,2026-06-29
21403994,replacement cost value (RCV),重置成本价值；置换成本价值,115.05.05,2026-06-29
21403995,reply deadline,回复期限,115.05.05,2026-06-29
21403996,request for tender (RFT),邀标,114.08.30,2026-06-29
21403997,resale,转售,115.05.05,2026-06-29
21403998,residual value,残值,115.05.05,2026-06-29
21403999,resistance coil,电阻线圈,113.10.01,2026-06-29
21404000,resource allocation and multi-project scheduling (RAMPS),资源分配与多重专案排程,114.08.30,2026-06-29
21404001,resource sheet,资源统计表,115.05.05,2026-06-29
21404002,resumption of work,复工,115.05.05,2026-06-29
21404003,retention,保留款,114.08.30,2026-06-29
21404004,retention money,保留款,115.05.05,2026-06-29
21404005,retrofit,翻新改建,114.08.30,2026-06-29
21404006,revenue service date (RSD),营运起始日期；营收起始日期,115.05.05,2026-06-29
21404007,reverse circulation pile,反循环桩,114.08.30,2026-06-29
21404008,reverse mortgage,反向抵押贷款,114.08.30,2026-06-29
21404009,reversed circulation cast-in-place pile,反循环场铸基桩,114.08.30,2026-06-29
21404010,review comments form,审查意见表,115.05.05,2026-06-29
21404011,review on technical proposal,技术标审查,115.05.05,2026-06-29
21404012,right of access,通行权,115.05.05,2026-06-29
21404013,right of rescission,撤销权；契约解除权,114.08.30,2026-06-29
21404014,rim joist,收边小梁,114.08.30,2026-06-29
21404015,riser diagram,升位图；升位图,114.08.30,2026-06-29
21404016,risk profile,风险概况；风险属性,115.06.02,2026-06-29
21404017,risk tolerance,风险容受；风险承受,115.06.02,2026-06-29
21404018,risky machinery,危险性机械,115.05.05,2026-06-29
21404019,river corridor,河川廊道,114.08.30,2026-06-29
21404020,rolled section,热轧型钢断面,114.08.30,2026-06-29
21404021,roller shutter,铁卷门,114.08.30,2026-06-29
21404022,rolling and compacting equipment,滚压机械,115.05.05,2026-06-29
21404023,roof jack,屋顶支架固定件；屋顶通风口盖,114.08.30,2026-06-29
21404024,roof lookout,屋簷水平支撑材,114.08.30,2026-06-29
21404025,roof valley,屋谷；屋顶排水沟,114.08.30,2026-06-29
21404026,roofing felt,屋顶防水毯；油毛毡,113.10.01,2026-06-29
21404027,rooter,松土机；除根机,114.08.30,2026-06-29
21404028,rough chip,粗碎石｛地坪｝,114.08.30,2026-06-29
21404029,rough opening,粗开口,114.08.30,2026-06-29
21404030,rough-in,初步配管线,114.08.30,2026-06-29
21404031,rough-in plumbing,给排水初步配管,113.10.01,2026-06-29
21404032,rumble strip,跳动路面；隆起警示压条,114.08.30,2026-06-29
21404033,sack mix,依水泥量之混凝土配比,114.08.30,2026-06-29
21404034,safe work method statement (SWMS),安全工法说明,114.08.30,2026-06-29
21404035,sale and leaseback,售后租回,114.08.30,2026-06-29
21404036,sand blasting,喷砂,114.08.30,2026-06-29
21404037,sand float finish,砂浮饰面,114.08.30,2026-06-29
21404038,sandblasted glass,磨砂玻璃,115.05.05,2026-06-29
21404039,sanitary piping,卫生污水配管,114.08.30,2026-06-29
21404040,sash balance,窗框平衡器,114.08.30,2026-06-29
21404041,saturated felt,油毛毡,114.08.30,2026-06-29
21404042,scarifier,松土机、翻土机,114.08.30,2026-06-29
21404043,scribing,不规则面接合｛木作｝；画线放样,114.08.30,2026-06-29
21404044,sealed bid,密封投标,114.08.30,2026-06-29
21404045,second mortgage,第二抵押,114.08.30,2026-06-29
21404046,secondary critical path ,次要径,115.05.05,2026-06-29
21404047,secondary suite,附属住宅单元；二级单元,115.05.05,2026-06-29
21404048,section of the works,部分工程；区段标工程,115.05.05,2026-06-29
21404049,section project,区段标工程,115.05.05,2026-06-29
21404050,security interest,担保权益,114.08.30,2026-06-29
21404051,sedimentary rock,沉积岩,114.08.30,2026-06-29
21404052,seepage force,渗流力,114.08.30,2026-06-29
21404053,seismic damage,震损,114.08.30,2026-06-29
21404054,selective tendering,选择性招标,114.08.30,2026-06-29
21404055,self assessment form,自主评量表,115.05.05,2026-06-29
21404056,self-drill screw,自钻螺丝,114.08.30,2026-06-29
21404057,self-tapping screw,自攻螺丝,114.08.30,2026-06-29
21404058,seller financing,卖方融资,114.08.30,2026-06-29
21404059,semigloss paint,半光漆,114.08.30,2026-06-29
21404060,septic permit,卫生污水许可,114.08.30,2026-06-29
21404061,septic system,卫生污水系统,114.08.30,2026-06-29
21404062,service lateral,用户周边管道,114.08.30,2026-06-29
21404063,setting out,测设；放样,114.08.30,2026-06-29
21404064,settlement point,沉陷监测点；结算点；和解点,114.08.30,2026-06-29
21404065,settlement rod,测沉杆；沉陷杆,114.08.30,2026-06-29
21404066,sewer tap,污水管接口,114.08.30,2026-06-29
21404067,S-glass fiber,高强度玻璃纤维；S型玻璃纤维,115.05.05,2026-06-29
21404068,shake roof,劈木瓦屋顶,114.08.30,2026-06-29
21404069,shared appreciation mortgage,增值共享抵押贷款,114.08.30,2026-06-29
21404070,shielded metal arc welding (SMAW),金属被复电弧銲,114.08.30,2026-06-29
21404071,shopfront,店面,114.08.30,2026-06-29
21404072,short sale,短售；低价出售,114.08.30,2026-06-29
21404073,sill cock,户外用水龙头,113.10.01,2026-06-29
21404074,site boarding,工区围篱,114.08.30,2026-06-29
21404075,site control survey,工地控制测量,115.05.05,2026-06-29
21404076,site hoarding,工区围篱,114.08.30,2026-06-29
21404077,site preparation,工地整备,115.05.05,2026-06-29
21404078,site work,工地工作,115.05.05,2026-06-29
21404079,skid-built construction,可移动式施工,114.08.30,2026-06-29
21404080,skin load,外壳耗能；外壳负载,114.08.30,2026-06-29
21404081,skybridge,空中通道；人行天桥,114.08.30,2026-06-29
21404082,skywalk,空中通道；人行天桥,114.08.30,2026-06-29
21404083,slot weld,槽銲,114.08.30,2026-06-29
21404084,smart pass automation system,智慧门禁系统；自动通关系统,114.08.30,2026-06-29
21404085,Smith Triaxial Method,史密司法｛沥青混凝土｝,114.08.30,2026-06-29
21404086,smoko,工作中休息时间,114.08.30,2026-06-29
21404087,social plaza,交谊大厅；社交广场,114.08.30,2026-06-29
21404088,soil pipe,污水管,114.08.30,2026-06-29
21404089,sound transmission class (STC),声音穿透等级；隔音等级,114.08.30,2026-06-29
21404090,spandrel glass,层间遮蔽玻璃｛帷幕墙｝,114.08.30,2026-06-29
21404091,spandrel panel,间隙板｛帷幕墙｝,114.08.30,2026-06-29
21404092,sparkie,电匠,114.08.30,2026-06-29
21404093,speculative house (spec house),成屋,114.08.30,2026-06-29
21404094,spillway,溢洪道,114.08.30,2026-06-29
21404095,splash block,护坦；挡水板,114.08.30,2026-06-29
21404096,splitter damper,分歧风门,114.08.30,2026-06-29
21404097,spoil disposal site,弃土区,114.08.30,2026-06-29
21404098,spot check,抽查,115.05.05,2026-06-29
21404099,squeegee,橡皮刮水器,114.08.30,2026-06-29
21404100,staff angle,护角条,115.06.02,2026-06-29
21404101,stainless steel pipe,不锈钢管,114.08.30,2026-06-29
21404102,stair landing,楼梯平台,114.08.30,2026-06-29
21404103,stair rise,楼梯阶高；楼梯级高,114.08.30,2026-06-29
21404104,stair run,楼梯阶深；楼梯级深,114.08.30,2026-06-29
21404105,standard penetration test (SPT),标准贯入试验,114.08.30,2026-06-29
21404106,standard practices of the trade,行业标准作法,114.08.30,2026-06-29
21404107,standard split-spoon sampling,标准劈管取样,114.08.30,2026-06-29
21404108,stand-up time,自立时间；免支撑时间,114.08.30,2026-06-29
21404109,statement of claim,索赔陈述书,115.05.05,2026-06-29
21404110,statistical quality control (SQC),统计品质管制,114.08.30,2026-06-29
21404111,steel reinforced concrete (SRC),钢骨钢筋混凝土,114.08.30,2026-06-29
21404112,step flashing,阶梯式泛水,114.08.30,2026-06-29
21404113,stick wall system,直横料系统｛帷幕墙｝,114.08.30,2026-06-29
21404114,stick-built construction,固定式施工,114.08.30,2026-06-29
21404115,stone masonry,砌石工程；砌块石,114.08.30,2026-06-29
21404116,stone pitching,铺砌石料；铺块石,114.08.30,2026-06-29
21404117,stool,支座；凳,114.08.30,2026-06-29
21404118,stop order,停工令,114.08.30,2026-06-29
21404119,stop tap box,止水阀开关箱,114.08.30,2026-06-29
21404120,storage,储存,115.05.05,2026-06-29
21404121,storage room,储藏室,114.08.30,2026-06-29
21404122,story,楼层,114.08.30,2026-06-29
21404123,strain transducer,应变感测器；应变计,114.08.30,2026-06-29
21404124,stress absorbing membrane interlayer (SAMI),应力吸收膜夹层,114.08.30,2026-06-29
21404125,stressmeter,应力计,114.08.30,2026-06-29
21404126,strip flooring,窄版木地板,114.08.30,2026-06-29
21404127,structural electrical and mechanical drawing (SEM drawing),结构机电图,114.08.30,2026-06-29
21404128,structural floor level (SFL),楼板结构完成面高程｛工程图｝；结构板顶高,115.05.05,2026-06-29
21404129,structural silicone,结构矽胶,114.08.30,2026-06-29
21404130,structural surface level (SSL),结构板顶高,115.05.05,2026-06-29
21404131,subbie,分包商,114.08.30,2026-06-29
21404132,subfloor,底层地板,114.08.30,2026-06-29
21404133,subject of procurement,采购标的,115.05.05,2026-06-29
21404134,submerged arc welding (SAW),潜弧銲,114.08.30,2026-06-29
21404135,subprime mortgage,次级抵押贷款,114.08.30,2026-06-29
21404136,subsoil,底土,114.08.30,2026-06-29
21404137,substantial completion of work,实质完工,115.05.05,2026-06-29
21404138,sulphate-bearing soil,含硫酸盐土壤,114.08.30,2026-06-29
21404139,superior entity,上级单位,115.05.05,2026-06-29
21404140,supervision organization,监造组织,115.05.05,2026-06-29
21404141,supervision personnel,监造人员,115.05.05,2026-06-29
21404142,supervision record form,监造纪录表,115.05.05,2026-06-29
21404143,surcharge,加载；超载,114.08.30,2026-06-29
21404144,surface recycling,面层回收再利用｛沥青铺面｝,114.08.30,2026-06-29
21404145,surfacing,面层铺设,114.08.30,2026-06-29
21404146,surveillance record form,督导纪录表,115.05.05,2026-06-29
21404147,suspension bridge,悬索桥；吊桥,114.08.30,2026-06-29
21404148,suspension of work,停工,115.05.05,2026-06-29
21404149,syncline,向斜层,114.08.30,2026-06-29
21404150,systyle,2倍柱径间距排列｛古建筑｝；疏柱式,115.05.05,2026-06-29
21404151,T bar,T型杆,114.08.30,2026-06-29
21404152,tamping,捣实,114.08.30,2026-06-29
21404153,tandem roller,串联式滚压机；双钢轮压路机,114.08.30,2026-06-29
21404154,technical services,技术服务,115.05.05,2026-06-29
21404155,teflon,聚四氟乙烯；铁氟龙,114.08.30,2026-06-29
21404156,temperature steel,温度钢筋,114.08.30,2026-06-29
21404157,temporary work,临时工程,115.05.05,2026-06-29
21404158,tender,投标,114.08.30,2026-06-29
21404159,tender amount,投标金额,115.05.05,2026-06-29
21404160,tender awarding date,决标日期,115.05.05,2026-06-29
21404161,tender document,招标文件,114.08.30,2026-06-29
21404162,tender offer,投标报价；投标,114.08.30,2026-06-29
21404163,tender offer document,投标文件,114.08.30,2026-06-29
21404164,tender opening date,开标日期,115.05.05,2026-06-29
21404165,tendering authority,招标机关,114.08.30,2026-06-29
21404166,tendering period,等标期,115.05.05,2026-06-29
21404167,termite shield,白蚁屏障；白蚁防护罩,114.08.30,2026-06-29
21404168,terracotta,赤陶土；红陶土,114.08.30,2026-06-29
21404169,thin wall tube sampling,薄管取样,114.08.30,2026-06-29
21404170,three-level quality management,三级品管,115.05.05,2026-06-29
21404171,threshold for announced procurement,公告金额,115.05.05,2026-06-29
21404172,threshold for large procurement,巨额采购金额,115.05.05,2026-06-29
21404173,threshold for small procurement,小额采购金额,115.05.05,2026-06-29
21404174,threshold for supervised procurement,查核金额,115.05.05,2026-06-29
21404175,tie tamper,夯道机;轨枕捣实器,115.06.02,2026-06-29
21404176,timber frame construction,木框式构造,114.08.30,2026-06-29
21404177,time for completion,竣工期限,115.05.05,2026-06-29
21404178,title insurance,产权保险,114.08.30,2026-06-29
21404179,top management,高阶管理；高层管理,115.05.05,2026-06-29
21404180,topcoat,外涂层；面层｛油漆｝,114.08.30,2026-06-29
21404181,topsoil,表土,114.08.30,2026-06-29
21404182,total cost,总成本,115.05.05,2026-06-29
21404183,total interest percentage (TIP),总利息百分比,114.08.30,2026-06-29
21404184,total quality control (TQC),全面品质管制,114.08.30,2026-06-29
21404185,touch up,补漆,114.08.30,2026-06-29
21404186,traffic paint,道路标线漆,114.08.30,2026-06-29
21404187,travel lane,行车道,114.08.30,2026-06-29
21404188,trencher,挖沟机,115.05.05,2026-06-29
21404189,Tube à Manchette grouting (TAM grouting) ,马歇尔管灌浆；双环塞灌浆,115.05.05,2026-06-29
21404190,turfing,铺设草皮,114.08.30,2026-06-29
21404191,"turned, ground and polished (TGP)",车削、研磨和抛光,114.08.30,2026-06-29
21404192,turning vane,顺风片,114.08.30,2026-06-29
21404193,ulti-matte paint,哑光漆；雾面漆,114.08.30,2026-06-29
21404194,undercoat,底漆；底涂层,114.08.30,2026-06-29
21404195,underdrain,地下排水,114.08.30,2026-06-29
21404196,underfloor air distribution (UFAD),地板式送风系统；地板式送风空调,114.08.30,2026-06-29
21404197,uniaxial compressive strength,单轴抗压强度；单轴压缩强度,114.08.30,2026-06-29
21404198,uninterruptible power supply (UPS),不断电系统,114.08.30,2026-06-29
21404199,unitized system,单元化系统｛帷幕墙｝,114.08.30,2026-06-29
21404200,unit-price contract,单价承揽契约,114.08.30,2026-06-29
21404201,upstand,立牌；立板,114.08.30,2026-06-29
21404202,urinal,小便斗,114.08.30,2026-06-29
21404203,vacation,排除,114.08.30,2026-06-29
21404204,valley flashing,屋谷泛水,114.08.30,2026-06-29
21404205,vanilla shell,标配屋,114.08.30,2026-06-29
21404206,variation order (VO),契约变更指示,115.05.05,2026-06-29
21404207,varnish,清漆；亮光漆；凡立水,114.08.30,2026-06-29
21404208,vegetation engineering,植生工程,114.08.30,2026-06-29
21404209,vehicle impoundment,车辆扣押,114.08.30,2026-06-29
21404210,vehicle-bridge resonance,车桥共振,114.08.30,2026-06-29
21404211,vehicular bridge,车行桥；公路桥,114.08.30,2026-06-29
21404212,vehicular underpass,车行地下道,114.08.30,2026-06-29
21404213,ventilation shaft,通气管道；通风井；通风坑,114.08.30,2026-06-29
21404214,vinyl flooring,胶地板；PVC地板；乙烯基地板,114.08.30,2026-06-29
21404215,vinyl tile,塑胶地砖,114.08.30,2026-06-29
21404216,virtual design and construction (VDC),虚拟设计与施工,114.08.30,2026-06-29
21404217,vision glass,透视玻璃,114.08.30,2026-06-29
21404218,voided biaxial slab,中空双向板,114.08.30,2026-06-29
21404219,volume damper,风量风门,114.08.30,2026-06-29
21404220,waferboard,定向刨花密集板,113.10.01,2026-06-29
21404221,waiver,弃权；弃权书,114.08.30,2026-06-29
21404222,walkthrough,走查,114.08.30,2026-06-29
21404223,warm shell,标配屋,114.08.30,2026-06-29
21404224,warning water level,警戒水位,114.08.30,2026-06-29
21404225,wash primer,伐锈底漆,114.08.30,2026-06-29
21404226,waste materials,废料,115.05.05,2026-06-29
21404227,waste pipe,废水管,114.08.30,2026-06-29
21404228,wasteway,溢洪道；废水道,114.08.30,2026-06-29
21404229,water accessibility,用水可及性,114.08.30,2026-06-29
21404230,water cement ratio,水灰比,114.08.30,2026-06-29
21404231,water leakage,漏水,115.05.05,2026-06-29
21404232,water meter vault,水表箱,114.08.30,2026-06-29
21404233,water meter yoke,水表管架,114.08.30,2026-06-29
21404234,water tap,水龙头,114.08.30,2026-06-29
21404235,water tank,水箱；蓄水池；水塔,114.08.30,2026-06-29
21404236,weather strip,防风雨条；密封条,114.08.30,2026-06-29
21404237,weatherization,耐候防护工程,114.08.30,2026-06-29
21404238,weatherstrip,挡风雨条；门窗密封条,114.08.30,2026-06-29
21404239,weeping tile,渗透排水管,114.08.30,2026-06-29
21404240,weighted joint density,加权节理密度｛岩石｝,114.08.30,2026-06-29
21404241,well point,点井,114.08.30,2026-06-29
21404242,white box,标配屋,114.08.30,2026-06-29
21404243,whole house fan,全屋风扇,114.08.30,2026-06-29
21404244,wind bracing,抗风斜撑,114.08.30,2026-06-29
21404245,wind tunnel test,风洞试验,114.08.30,2026-06-29
21404246,window buck,窗开口预留框,114.08.30,2026-06-29
21404247,wire nut,电线螺母；电线螺帽,114.08.30,2026-06-29
21404248,wood floor finish,木质地板装修,114.08.30,2026-06-29
21404249,yard of concrete,立方码混凝土,114.08.30,2026-06-29
21404250,z-bar flashing,z型泛水版,114.08.30,2026-06-29
21404251,zinc chromate primer,锌铬黄底漆,114.08.30,2026-06-29
21404252,zone valve,分区阀,114.08.30,2026-06-29
